SenseLab_M01
Time Zone;UTC+2:00;
Monitor;80.80.12.F1;
;
Pill n°1;24.00.1C.4F;;;;;;Pill n°2;24.00.1C.2E;;;;;;
Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;
1;04/06/2023;16:35:37;26.33;;;;1;04/06/2023;16:36:49;26.32;;;;
2;04/06/2023;16:35:52;26.8;;;;2;04/06/2023;16:37:04;27;;;;
3;04/06/2023;16:36:07;26.81;;;;3;04/06/2023;16:37:19;27.23;;;;
4;04/06/2023;16:36:22;26.82;;;;4;04/06/2023;16:37:34;27.25;;;;
5;04/06/2023;16:36:44;26.7;;;;5;04/06/2023;16:37:49;27.13;;;;
6;04/06/2023;16:36:52;26.59;;;;6;04/06/2023;16:38:04;27.04;;;;
7;04/06/2023;16:37:07;26.5;;;;7;04/06/2023;16:38:19;26.91;;;;
8;04/06/2023;16:37:22;26.41;;;;8;04/06/2023;16:38:34;26.79;;;;
9;04/06/2023;16:37:37;26.31;;;;9;04/06/2023;16:38:49;26.67;;;;
10;04/06/2023;16:37:52;26.23;;;;10;04/06/2023;16:39:04;26.59;;;;
11;04/06/2023;16:38:07;26.15;;;;11;04/06/2023;16:39:19;26.52;;;;
12;04/06/2023;16:38:22;26.06;;;;12;04/06/2023;16:39:34;26.41;;;;
13;04/06/2023;16:38:37;25.99;;;;13;04/06/2023;16:39:49;26.34;;;;
14;04/06/2023;16:38:52;25.93;;;;14;04/06/2023;16:40:04;26.23;;;;
15;04/06/2023;16:39:07;25.86;;;;15;04/06/2023;16:40:19;26.18;;;;
16;04/06/2023;16:39:22;25.83;;;;16;04/06/2023;16:40:34;26.11;;;;
17;04/06/2023;16:39:37;25.77;;;;17;04/06/2023;16:40:49;26.04;;;;
18;04/06/2023;16:39:52;25.71;;;;18;04/06/2023;16:41:04;26.02;;;;
19;04/06/2023;16:40:07;25.64;Synchronized;;;19;04/06/2023;16:41:19;25.95;;;;
20;04/06/2023;16:40:22;25.63;;;;20;04/06/2023;16:41:34;25.87;;;;
