SenseLab_M02;
Time Zone;UTC+2:00;
Monitor;80.80.10.3E;
;
Pill n°1;24.00.1B.E6;;;;;;Pill n°2;24.00.1B.83;;;;;;Pill n°3;24.00.1D.33;;;;;;
Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;
1;04/06/2023;16:39:59;28.3;;;;1;04/06/2023;16:41:08;26.23;;;;1;04/06/2023;16:42:15;25.98;;;;
2;04/06/2023;16:40:14;28.78;;;;2;04/06/2023;16:41:23;26.98;;;;2;04/06/2023;16:42:30;26.7;;;;
3;04/06/2023;16:40:29;28.77;;;;3;04/06/2023;16:41:38;27.22;;;;3;04/06/2023;16:42:45;26.99;;;;
4;04/06/2023;16:40:44;28.64;;;;4;04/06/2023;16:41:53;27.36;;;;4;04/06/2023;16:43:00;27.13;;;;
5;04/06/2023;16:41:03;28.44;;;;5;04/06/2023;16:42:09;27.33;;;;5;04/06/2023;16:43:15;27.1;;;;
6;04/06/2023;16:41:15;28.23;;;;6;04/06/2023;16:42:23;27.18;;;;6;04/06/2023;16:43:30;27;;;;
7;04/06/2023;16:41:30;28.03;;;;7;04/06/2023;16:42:38;27.06;;;;7;04/06/2023;16:43:45;26.89;;;;
8;04/06/2023;16:41:45;27.86;;;;8;04/06/2023;16:42:53;26.95;;;;8;04/06/2023;16:44:00;26.78;;;;
9;04/06/2023;16:42:00;27.68;;;;9;04/06/2023;16:43:08;26.84;;;;9;04/06/2023;16:44:15;26.69;;;;
10;04/06/2023;16:42:15;27.52;;;;10;04/06/2023;16:43:23;26.73;;;;10;04/06/2023;16:44:30;26.57;;;;
11;04/06/2023;16:42:30;27.36;;;;11;04/06/2023;16:43:38;26.63;;;;11;04/06/2023;16:44:45;26.48;;;;
12;04/06/2023;16:42:45;27.23;;;;12;04/06/2023;16:43:53;26.56;;;;12;04/06/2023;16:45:00;26.39;;;;
13;04/06/2023;16:43:00;27.1;;;;13;04/06/2023;16:44:08;26.45;;;;13;04/06/2023;16:45:15;26.3;;;;
14;04/06/2023;16:43:15;26.99;;;;14;04/06/2023;16:44:23;26.38;;;;14;04/06/2023;16:45:30;26.22;Synchronized;;;
15;04/06/2023;16:43:30;26.9;;;;15;04/06/2023;16:44:38;26.28;;;;15;04/06/2023;16:45:45;26.13;Synchronized;;;
16;04/06/2023;16:43:45;26.77;;;;16;04/06/2023;16:44:53;26.23;;;;16;04/06/2023;16:46:00;26.07;Synchronized;;;
17;04/06/2023;16:44:00;26.67;;;;17;04/06/2023;16:45:08;26.15;;;;17;04/06/2023;16:46:15;26.01;Synchronized;;;
18;04/06/2023;16:44:15;26.59;;;;18;04/06/2023;16:45:23;26.09;;;;18;04/06/2023;16:46:30;25.94;;;;
19;04/06/2023;16:44:30;26.51;;;;19;04/06/2023;16:45:38;26.01;;;;19;04/06/2023;16:46:45;25.88;;;;
20;04/06/2023;16:44:45;26.42;;;;20;04/06/2023;16:45:53;25.96;;;;20;04/06/2023;16:47:00;25.82;;;;
21;04/06/2023;16:45:00;26.34;;;;21;04/06/2023;16:46:08;25.91;;;;21;04/06/2023;16:47:15;25.78;;;;
22;04/06/2023;16:45:15;26.27;;;;22;04/06/2023;16:46:23;25.85;;;;22;04/06/2023;16:47:30;25.72;;;;
23;04/06/2023;16:45:30;26.21;Synchronized;;;23;04/06/2023;16:46:38;25.8;;;;23;04/06/2023;16:47:45;25.68;;;;
24;04/06/2023;16:45:45;26.14;Synchronized;;;24;04/06/2023;16:46:53;25.77;;;;24;04/06/2023;16:48:00;25.61;;;;
25;04/06/2023;16:46:00;26.06;Synchronized;;;25;04/06/2023;16:47:08;25.74;;;;25;04/06/2023;16:48:15;25.58;;;;
26;04/06/2023;16:46:15;26.01;Synchronized;;;26;04/06/2023;16:47:23;25.66;;;;26;04/06/2023;16:48:30;25.53;;;;
27;04/06/2023;16:46:30;25.95;;;;27;04/06/2023;16:47:39;25.63;;;;27;04/06/2023;16:48:45;25.52;;;;
28;04/06/2023;16:46:45;25.91;;;;28;04/06/2023;16:47:54;25.59;;;;28;04/06/2023;16:49:00;25.45;;;;
29;04/06/2023;16:47:00;25.84;;;;29;04/06/2023;16:48:09;25.55;;;;29;04/06/2023;16:49:15;25.42;;;;
30;04/06/2023;16:47:15;25.81;;;;30;04/06/2023;16:48:24;25.55;;;;30;04/06/2023;16:49:30;25.41;;;;
31;04/06/2023;16:47:30;25.79;;;;31;04/06/2023;16:48:39;25.52;;;;31;04/06/2023;16:49:45;25.37;;;;
32;04/06/2023;16:47:45;25.75;;;;32;04/06/2023;16:48:54;25.47;;;;32;04/06/2023;16:50:00;25.33;;;;
33;04/06/2023;16:48:00;25.7;;;;33;04/06/2023;16:49:09;25.44;;;;33;04/06/2023;16:50:15;25.3;;;;
34;04/06/2023;16:48:15;25.68;;;;34;04/06/2023;16:49:24;25.41;;;;34;04/06/2023;16:50:30;25.28;;;;
35;04/06/2023;16:48:30;25.66;;;;35;04/06/2023;16:49:39;25.38;;;;35;04/06/2023;16:50:45;25.27;;;;
36;04/06/2023;16:48:45;25.61;;;;36;04/06/2023;16:49:54;25.35;;;;36;04/06/2023;16:51:00;25.23;;;;
37;04/06/2023;16:49:00;25.59;;;;37;04/06/2023;16:50:09;25.34;;;;37;04/06/2023;16:51:15;25.21;;;;
38;04/06/2023;16:49:15;25.56;;;;38;04/06/2023;16:50:24;25.34;;;;38;04/06/2023;16:51:30;25.19;;;;
39;04/06/2023;16:49:30;25.54;;;;39;04/06/2023;16:50:39;25.29;;;;39;04/06/2023;16:51:45;25.16;;;;
40;04/06/2023;16:49:45;25.52;;;;40;04/06/2023;16:50:54;25.27;;;;40;04/06/2023;16:52:00;25.16;;;;
41;04/06/2023;16:50:00;25.48;;;;41;04/06/2023;16:51:09;25.24;;;;41;04/06/2023;16:52:15;25.13;;;;
42;04/06/2023;16:50:15;25.45;;;;42;04/06/2023;16:51:24;25.24;;;;42;04/06/2023;16:52:30;25.1;;;;
43;04/06/2023;16:50:30;25.44;;;;43;04/06/2023;16:51:39;25.23;;;;43;04/06/2023;16:52:45;25.1;;;;
44;04/06/2023;16:50:45;25.43;;;;44;04/06/2023;16:51:54;25.23;;;;44;04/06/2023;16:53:00;25.06;;;;
45;04/06/2023;16:51:00;25.43;;;;45;04/06/2023;16:52:09;25.21;;;;45;04/06/2023;16:53:15;25.06;;;;
46;04/06/2023;16:51:15;25.38;;;;46;04/06/2023;16:52:24;25.17;;;;46;04/06/2023;16:53:30;25.06;Synchronized;;;
47;04/06/2023;16:51:30;25.37;;;;47;04/06/2023;16:52:39;25.16;;;;47;04/06/2023;16:53:45;25.05;;;;
48;04/06/2023;16:51:45;25.36;;;;48;04/06/2023;16:52:54;25.15;Synchronized;;;48;04/06/2023;16:54:00;25.02;;;;
49;04/06/2023;16:52:00;25.33;;;;49;04/06/2023;16:53:09;25.14;;;;49;04/06/2023;16:54:15;25.04;;;;
50;04/06/2023;16:52:16;25.31;;;;50;04/06/2023;16:53:24;25.14;;;;50;04/06/2023;16:54:30;24.98;;;;
51;04/06/2023;16:52:31;25.33;;;;51;04/06/2023;16:53:39;25.14;;;;51;04/06/2023;16:54:45;25.01;;;;
52;04/06/2023;16:52:46;25.31;;;;52;04/06/2023;16:53:54;25.1;;;;52;04/06/2023;16:55:00;24.99;;;;
53;04/06/2023;16:53:01;25.31;;;;53;04/06/2023;16:54:09;25.1;;;;53;04/06/2023;16:55:15;24.98;;;;
54;04/06/2023;16:53:16;25.28;;;;54;04/06/2023;16:54:24;25.08;;;;54;04/06/2023;16:55:30;24.97;;;;
55;04/06/2023;16:53:31;25.28;;;;55;04/06/2023;16:54:39;25.09;;;;55;04/06/2023;16:55:45;24.95;;;;
56;04/06/2023;16:53:46;25.27;;;;56;04/06/2023;16:54:54;25.07;;;;56;04/06/2023;16:56:00;24.96;;;;
57;04/06/2023;16:54:01;25.27;;;;57;04/06/2023;16:55:09;25.06;;;;57;04/06/2023;16:56:15;24.94;;;;
58;04/06/2023;16:54:16;25.27;;;;58;04/06/2023;16:55:24;25.05;;;;58;04/06/2023;16:56:30;24.94;;;;
59;04/06/2023;16:54:31;25.23;;;;59;04/06/2023;16:55:39;25.06;;;;59;04/06/2023;16:56:45;24.94;;;;
60;04/06/2023;16:54:46;25.27;;;;60;04/06/2023;16:55:54;25.03;;;;60;04/06/2023;16:57:00;24.92;;;;
61;04/06/2023;16:55:01;25.23;;;;61;04/06/2023;16:56:09;25.03;;;;61;04/06/2023;16:57:15;24.91;;;;
62;04/06/2023;16:55:16;25.23;;;;62;04/06/2023;16:56:24;25.04;;;;62;04/06/2023;16:57:29;24.91;;;;
63;04/06/2023;16:55:31;25.22;;;;63;04/06/2023;16:56:40;25.02;;;;63;04/06/2023;16:57:44;24.91;;;;
64;04/06/2023;16:55:46;25.22;;;;64;04/06/2023;16:56:55;25.02;;;;64;04/06/2023;16:57:59;24.88;;;;
65;04/06/2023;16:56:01;25.19;;;;65;04/06/2023;16:57:10;24.99;;;;65;04/06/2023;16:58:14;24.87;;;;
66;04/06/2023;16:56:16;25.18;;;;66;04/06/2023;16:57:25;25;;;;66;04/06/2023;16:58:29;24.88;;;;
67;04/06/2023;16:56:31;25.18;;;;67;04/06/2023;16:57:40;25;;;;67;04/06/2023;16:58:44;24.88;;;;
68;04/06/2023;16:56:46;25.15;;;;68;04/06/2023;16:57:55;24.98;;;;68;04/06/2023;16:58:59;24.87;;;;
69;04/06/2023;16:57:01;25.16;;;;69;04/06/2023;16:58:10;25;;;;69;04/06/2023;16:59:14;24.87;;;;
70;04/06/2023;16:57:16;25.2;;;;70;04/06/2023;16:58:25;25;;;;70;04/06/2023;16:59:29;24.9;;;;
71;04/06/2023;16:57:31;25.16;;;;71;04/06/2023;16:58:40;24.99;;;;71;04/06/2023;16:59:44;24.87;;;;
72;04/06/2023;16:57:46;25.16;;;;72;04/06/2023;16:58:55;24.98;;;;72;04/06/2023;16:59:59;24.85;;;;
73;04/06/2023;16:58:01;25.14;;;;73;04/06/2023;16:59:10;24.99;;;;73;04/06/2023;17:00:14;24.86;;;;
74;04/06/2023;16:58:16;25.17;;;;74;04/06/2023;16:59:25;24.98;;;;74;04/06/2023;17:00:29;24.85;;;;
75;04/06/2023;16:58:31;25.17;;;;75;04/06/2023;16:59:40;24.98;;;;75;04/06/2023;17:00:44;24.84;Synchronized;;;
76;04/06/2023;16:58:46;25.16;;;;76;04/06/2023;16:59:55;24.98;;;;76;04/06/2023;17:00:59;24.86;;;;
77;04/06/2023;16:59:01;25.19;;;;77;04/06/2023;17:00:10;24.98;;;;77;04/06/2023;17:01:14;24.84;;;;
78;04/06/2023;16:59:16;25.16;;;;78;04/06/2023;17:00:25;24.98;;;;78;04/06/2023;17:01:29;24.85;;;;
79;04/06/2023;16:59:32;25.17;;;;79;04/06/2023;17:00:40;24.97;;;;79;04/06/2023;17:01:44;24.86;;;;
