SenseLab_M03;
Time Zone;UTC+2:00;
Monitor;80.80.10.EA;
;
Pill n°1;24.00.1A.9B;;;;;;Pill n°2;24.00.1C.D6;;;;;;Pill n°3;24.00.1C.AF;;;;;;
Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;
1;04/06/2023;16:29:30;26.86;;;;1;04/06/2023;16:30:48;26.88;;;;1;04/06/2023;16:33:21;26.83;;;;
2;04/06/2023;16:29:45;27.3;;;;2;04/06/2023;16:31:03;27.32;;;;2;04/06/2023;16:33:36;27.42;;;;
3;04/06/2023;16:30:00;27.41;;;;3;04/06/2023;16:31:18;27.44;;;;3;04/06/2023;16:33:51;27.62;;;;
4;04/06/2023;16:30:15;27.46;;;;4;04/06/2023;16:31:33;27.5;;;;4;04/06/2023;16:34:06;27.7;;;;
5;04/06/2023;16:30:30;27.35;;;;5;04/06/2023;16:31:48;27.46;;;;5;04/06/2023;16:34:21;27.67;;;;
6;04/06/2023;16:30:45;27.18;Synchronized;;;6;04/06/2023;16:32:03;27.31;;;;6;04/06/2023;16:34:36;27.48;;;;
7;04/06/2023;16:31:00;27.02;;;;7;04/06/2023;16:32:18;27.17;;;;7;04/06/2023;16:34:51;27.34;;;;
8;04/06/2023;16:31:15;26.9;;;;8;04/06/2023;16:32:33;27.02;Synchronized;;;8;04/06/2023;16:35:06;27.19;;;;
9;04/06/2023;16:31:31;26.75;;;;9;04/06/2023;16:32:48;26.88;;;;9;04/06/2023;16:35:21;27.05;;;;
10;04/06/2023;16:31:46;26.65;;;;10;04/06/2023;16:33:03;26.77;;;;10;04/06/2023;16:35:36;26.92;;;;
11;04/06/2023;16:32:01;26.55;;;;11;04/06/2023;16:33:18;26.65;Synchronized;;;11;04/06/2023;16:35:51;26.8;;;;
12;04/06/2023;16:32:18;26.43;;;;12;04/06/2023;16:33:33;26.54;;;;12;04/06/2023;16:36:06;26.71;Synchronized;;;
13;04/06/2023;16:32:32;26.33;Synchronized;;;13;04/06/2023;16:33:48;26.44;;;;13;04/06/2023;16:36:21;26.58;;;;
14;04/06/2023;16:32:46;26.21;;;;14;04/06/2023;16:34:03;26.33;;;;14;04/06/2023;16:36:36;26.49;;;;
15;04/06/2023;16:33:01;26.13;;;;15;04/06/2023;16:34:18;26.25;;;;15;04/06/2023;16:36:51;26.38;;;;
16;04/06/2023;16:33:16;26.08;;;;16;04/06/2023;16:34:33;26.16;;;;16;04/06/2023;16:37:06;26.3;;;;
17;04/06/2023;16:33:31;25.98;;;;17;04/06/2023;16:34:48;26.11;;;;17;04/06/2023;16:37:21;26.21;;;;
18;04/06/2023;16:33:46;25.91;;;;18;04/06/2023;16:35:03;26.02;;;;18;04/06/2023;16:37:36;26.13;;;;
19;04/06/2023;16:34:01;25.85;;;;19;04/06/2023;16:35:18;25.98;;;;19;04/06/2023;16:37:51;26.05;;;;
20;04/06/2023;16:34:16;25.79;;;;20;04/06/2023;16:35:33;25.9;;;;20;04/06/2023;16:38:06;26.02;;;;
21;04/06/2023;16:34:31;25.72;;;;21;04/06/2023;16:35:48;25.84;;;;21;04/06/2023;16:38:21;25.93;;;;
22;04/06/2023;16:34:46;25.68;;;;22;04/06/2023;16:36:03;25.78;;;;22;04/06/2023;16:38:36;25.86;;;;
23;04/06/2023;16:35:01;25.59;;;;23;04/06/2023;16:36:18;25.74;;;;23;04/06/2023;16:38:51;25.84;;;;
24;04/06/2023;16:35:16;25.57;;;;24;04/06/2023;16:36:33;25.7;;;;24;04/06/2023;16:39:06;25.76;;;;
25;04/06/2023;16:35:31;25.53;;;;25;04/06/2023;16:36:48;25.63;;;;25;04/06/2023;16:39:21;25.68;;;;
26;04/06/2023;16:35:46;25.48;;;;26;04/06/2023;16:37:03;25.59;;;;26;04/06/2023;16:39:36;25.65;;;;
27;04/06/2023;16:36:01;25.44;;;;27;04/06/2023;16:37:18;25.55;Synchronized;;;27;04/06/2023;16:39:51;25.59;;;;
28;04/06/2023;16:36:16;25.42;;;;28;04/06/2023;16:37:33;25.5;;;;28;04/06/2023;16:40:07;25.55;;;;
