SenseLab_M05;
Time Zone;UTC+2:00;
Monitor;80.80.10.43;
;
Pill n°1;24.00.1B.17;;;;;;Pill n°2;24.00.1C.7C;;;;;;
Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;
1;04/06/2023;16:18:26;25.12;;;;1;04/06/2023;16:24:10;27.4;;;;
2;04/06/2023;16:18:27;25.14;;;;2;04/06/2023;16:24:40;27.69;;;;
3;04/06/2023;16:18:27;25.15;;;;3;04/06/2023;16:25:10;27.55;;;;
4;04/06/2023;16:18:57;25.62;;;;4;04/06/2023;16:25:40;27.59;Synchronized;;;
5;04/06/2023;16:19:27;25.61;Synchronized;;;5;04/06/2023;16:26:10;27.43;;;;
6;04/06/2023;16:19:57;25.54;;;;6;04/06/2023;16:26:40;28.23;;;;
7;04/06/2023;16:20:27;25.84;;;;7;04/06/2023;16:27:10;28.02;;;;
8;04/06/2023;16:20:57;25.9;;;;8;04/06/2023;16:27:40;27.75;;;;
9;04/06/2023;16:21:27;25.88;;;;9;04/06/2023;16:28:10;27.43;;;;
10;04/06/2023;16:21:57;25.9;;;;10;04/06/2023;16:28:40;27.13;;;;
11;04/06/2023;16:22:27;25.89;Synchronized;;;11;04/06/2023;16:29:10;26.86;;;;
12;04/06/2023;16:22:57;25.81;Synchronized;;;12;04/06/2023;16:29:40;26.63;;;;
13;04/06/2023;16:23:27;25.74;Synchronized;;;13;04/06/2023;16:30:10;26.46;;;;
14;04/06/2023;16:23:57;25.71;Synchronized;;;14;04/06/2023;16:30:40;26.27;;;;
15;04/06/2023;16:24:28;25.67;Synchronized;;;15;04/06/2023;16:31:10;26.12;;;;
16;04/06/2023;16:24:58;25.63;Synchronized;;;16;04/06/2023;16:31:40;25.98;;;;
17;04/06/2023;16:25:28;25.59;Synchronized;;;17;04/06/2023;16:32:10;25.86;;;;
18;04/06/2023;16:25:58;25.58;Synchronized;;;18;04/06/2023;16:32:40;25.73;;;;
19;04/06/2023;16:26:28;25.67;;;;19;04/06/2023;16:33:10;25.62;;;;
20;04/06/2023;16:26:58;25.84;;;;20;04/06/2023;16:33:40;25.54;;;;
21;04/06/2023;16:27:28;25.88;;;;21;04/06/2023;16:34:10;25.44;;;;
22;04/06/2023;16:27:58;25.83;;;;22;04/06/2023;16:34:40;25.38;;;;
23;04/06/2023;16:28:28;25.74;;;;23;04/06/2023;16:35:10;25.31;;;;
24;04/06/2023;16:28:58;25.65;;;;24;04/06/2023;16:35:40;25.26;;;;
25;04/06/2023;16:29:28;25.55;;;;25;04/06/2023;16:36:10;25.23;;;;
26;04/06/2023;16:29:58;25.5;;;;26;04/06/2023;16:36:40;25.17;;;;
27;04/06/2023;16:30:28;25.42;;;;27;04/06/2023;16:37:10;25.14;;;;
28;04/06/2023;16:30:58;25.36;;;;28;04/06/2023;16:37:40;25.07;;;;
29;04/06/2023;16:31:28;25.3;;;;29;04/06/2023;16:38:10;25.05;;;;
30;04/06/2023;16:31:58;25.29;;;;30;04/06/2023;16:38:40;25.04;;;;
31;04/06/2023;16:32:28;25.25;;;;31;04/06/2023;16:39:10;25.02;;;;
32;04/06/2023;16:32:58;25.21;;;;32;04/06/2023;16:39:40;24.98;;;;
33;04/06/2023;16:33:28;25.18;;;;33;04/06/2023;16:40:10;24.96;;;;
34;04/06/2023;16:33:58;25.14;;;;34;04/06/2023;16:40:40;24.94;;;;
35;04/06/2023;16:34:28;25.12;;;;35;04/06/2023;16:41:10;24.91;;;;
36;04/06/2023;16:34:58;25.09;;;;36;04/06/2023;16:41:40;24.91;;;;
37;04/06/2023;16:35:28;25.07;;;;37;04/06/2023;16:42:10;24.9;;;;
38;04/06/2023;16:35:58;25.07;;;;38;04/06/2023;16:42:40;24.84;;;;
39;04/06/2023;16:36:28;25.04;;;;39;04/06/2023;16:43:10;24.85;;;;
40;04/06/2023;16:36:58;25.03;;;;40;04/06/2023;16:43:40;24.84;;;;
41;04/06/2023;16:37:28;25.04;;;;41;04/06/2023;16:44:10;24.86;;;;
42;04/06/2023;16:37:58;25.04;;;;42;04/06/2023;16:44:40;24.84;;;;
43;04/06/2023;16:38:28;25.02;;;;43;04/06/2023;16:45:10;24.82;;;;
44;04/06/2023;16:38:58;25.04;;;;44;04/06/2023;16:45:40;24.78;;;;
45;04/06/2023;16:39:28;25.01;;;;45;04/06/2023;16:46:10;24.82;;;;
