SenseLab_M03;
Time Zone;UTC+2:00;
Monitor;80.80.10.EA;
;
Pill n°1;24.00.1D.C5;;;;;;Pill n°2;24.00.1C.DA;;;;;;Pill n°3;24.00.1B.10;;;;;;
Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;
1;05/06/2023;17:46:43;27.45;;;;1;05/06/2023;17:48:59;28.09;;;;1;05/06/2023;17:52:31;28.61;;;;
2;05/06/2023;17:47:43;27.85;;;;2;05/06/2023;17:49:59;28.37;;;;2;05/06/2023;17:53:31;28.88;;;;
3;05/06/2023;17:48:43;27.62;;;;3;05/06/2023;17:50:59;28.03;Synchronized;;;3;05/06/2023;17:54:31;28.45;;;;
4;05/06/2023;17:49:42;27.43;;;;4;05/06/2023;17:51:59;27.77;;;;4;05/06/2023;17:55:31;28.16;;;;
5;05/06/2023;17:50:48;27.32;;;;5;05/06/2023;17:52:59;27.61;;;;5;05/06/2023;17:56:31;27.89;;;;
6;05/06/2023;17:51:45;27.2;Synchronized;;;6;05/06/2023;17:53:59;27.5;;;;6;05/06/2023;17:57:31;27.73;;;;
7;05/06/2023;17:52:42;27.12;;;;7;05/06/2023;17:54:59;27.34;;;;7;05/06/2023;17:58:31;27.55;;;;
8;05/06/2023;17:53:42;27.09;;;;8;05/06/2023;17:55:59;27.22;;;;8;05/06/2023;17:59:31;27.38;;;;
9;05/06/2023;17:54:42;27.04;;;;9;05/06/2023;17:56:59;27.09;;;;9;05/06/2023;18:00:30;27.25;;;;
10;05/06/2023;17:55:41;26.99;;;;10;05/06/2023;17:57:59;27.02;;;;10;05/06/2023;18:01:30;27.15;;;;
11;05/06/2023;17:56:41;26.94;;;;11;05/06/2023;17:58:59;26.93;;;;11;05/06/2023;18:02:30;27.07;;;;
12;05/06/2023;17:57:41;26.92;;;;12;05/06/2023;17:59:59;26.87;;;;12;05/06/2023;18:03:30;26.97;;;;
13;05/06/2023;17:58:41;26.87;;;;13;05/06/2023;18:00:59;26.8;;;;13;05/06/2023;18:04:30;26.78;;;;
14;05/06/2023;17:59:41;26.86;;;;14;05/06/2023;18:01:59;26.75;;;;14;05/06/2023;18:05:30;26.48;;;;
15;05/06/2023;18:00:41;26.84;;;;15;05/06/2023;18:02:59;26.7;;;;15;05/06/2023;18:06:30;26.27;;;;
16;05/06/2023;18:01:41;26.78;;;;16;05/06/2023;18:03:59;26.75;;;;16;05/06/2023;18:07:30;26.06;;;;
17;05/06/2023;18:02:41;26.8;;;;17;05/06/2023;18:04:58;26.43;;;;17;05/06/2023;18:08:30;25.91;Synchronized;;;
18;05/06/2023;18:03:41;26.76;;;;18;05/06/2023;18:05:58;26.23;;;;18;05/06/2023;18:09:30;25.8;;;;
19;05/06/2023;18:04:40;26.58;;;;19;05/06/2023;18:06:58;26.05;;;;19;05/06/2023;18:10:30;25.71;;;;
20;05/06/2023;18:05:40;26.43;;;;20;05/06/2023;18:07:58;25.91;;;;20;05/06/2023;18:11:30;25.63;;;;
21;05/06/2023;18:06:40;26.27;;;;21;05/06/2023;18:08:58;25.78;;;;21;05/06/2023;18:12:30;25.55;;;;
22;05/06/2023;18:07:40;26.12;;;;22;05/06/2023;18:09:58;25.68;;;;22;05/06/2023;18:13:30;25.53;;;;
23;05/06/2023;18:08:40;25.98;;;;23;05/06/2023;18:10:58;25.6;;;;23;05/06/2023;18:14:30;25.47;;;;
24;05/06/2023;18:09:40;25.85;;;;24;05/06/2023;18:11:58;25.52;;;;24;05/06/2023;18:15:30;25.45;;;;
25;05/06/2023;18:10:40;25.74;;;;25;05/06/2023;18:12:58;25.48;;;;25;05/06/2023;18:16:30;25.44;;;;
26;05/06/2023;18:11:40;25.67;;;;26;05/06/2023;18:13:58;25.45;;;;26;05/06/2023;18:17:30;25.44;;;;
27;05/06/2023;18:12:40;25.59;;;;27;05/06/2023;18:14:58;25.42;;;;27;05/06/2023;18:18:30;25.44;;;;
28;05/06/2023;18:13:39;25.57;;;;28;05/06/2023;18:15:58;25.41;;;;28;05/06/2023;18:19:30;25.41;;;;
29;05/06/2023;18:14:39;25.49;;;;29;05/06/2023;18:16:58;25.4;;;;29;05/06/2023;18:20:29;25.41;;;;
30;05/06/2023;18:15:39;25.45;;;;30;05/06/2023;18:17:58;25.39;;;;30;05/06/2023;18:21:29;25.37;;;;
31;05/06/2023;18:16:39;25.45;;;;31;05/06/2023;18:18:58;25.36;;;;31;05/06/2023;18:22:29;25.36;;;;
32;05/06/2023;18:17:39;25.48;;;;32;05/06/2023;18:19:58;25.34;;;;32;05/06/2023;18:23:29;25.33;;;;
33;05/06/2023;18:18:39;25.42;;;;33;05/06/2023;18:20:58;25.3;;;;33;05/06/2023;18:24:29;25.32;;;;
34;05/06/2023;18:19:39;25.38;;;;34;05/06/2023;18:21:58;25.3;;;;34;05/06/2023;18:25:29;25.33;;;;
35;05/06/2023;18:20:39;25.37;;;;35;05/06/2023;18:22:59;25.26;Synchronized;;;35;05/06/2023;18:26:29;25.33;;;;
36;05/06/2023;18:21:39;25.32;;;;36;05/06/2023;18:23:59;25.23;;;;36;05/06/2023;18:27:29;25.34;;;;
37;05/06/2023;18:22:39;25.3;;;;37;05/06/2023;18:24:59;25.25;;;;37;05/06/2023;18:28:29;25.34;;;;
38;05/06/2023;18:23:39;25.28;;;;38;05/06/2023;18:25:59;25.23;;;;38;05/06/2023;18:29:29;25.34;;;;
39;05/06/2023;18:24:38;25.24;;;;39;05/06/2023;18:26:59;25.23;;;;39;05/06/2023;18:30:29;25.34;;;;
40;05/06/2023;18:25:38;25.23;;;;40;05/06/2023;18:27:59;25.25;;;;40;05/06/2023;18:31:29;25.36;;;;
41;05/06/2023;18:26:38;25.24;;;;41;05/06/2023;18:28:59;25.28;;;;41;05/06/2023;18:32:29;25.35;;;;
42;05/06/2023;18:27:38;25.24;;;;42;05/06/2023;18:29:59;25.29;;;;42;05/06/2023;18:33:29;25.34;;;;
43;05/06/2023;18:28:38;25.26;;;;43;05/06/2023;18:30:59;25.28;;;;43;05/06/2023;18:34:29;25.35;;;;
44;05/06/2023;18:29:38;25.27;;;;44;05/06/2023;18:31:59;25.3;;;;44;05/06/2023;18:35:29;25.38;;;;
45;05/06/2023;18:30:38;25.25;;;;45;05/06/2023;18:32:59;25.27;;;;45;05/06/2023;18:36:29;25.38;;;;
46;05/06/2023;18:31:38;25.27;Synchronized;;;46;05/06/2023;18:33:59;25.28;;;;46;05/06/2023;18:37:29;25.38;;;;
47;05/06/2023;18:32:38;25.24;Synchronized;;;47;05/06/2023;18:34:59;25.29;;;;47;05/06/2023;18:38:29;25.38;;;;
