SenseLab_M05;
Time Zone;UTC+2:00;
Monitor;80.80.10.43;
;
Pill n°1;24.00.1C.91;;;;;;Pill n°2;24.00.1B.99;;;;;;Pill n°3;24.00.1C.A7;;;;;;
Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;
1;05/06/2023;17:58:20;27.88;;;;1;05/06/2023;17:59:12;28.02;;;;1;05/06/2023;18:00:53;28.29;;;;
2;05/06/2023;17:59:20;28.27;;;;2;05/06/2023;18:00:14;28.43;;;;2;05/06/2023;18:01:53;28.8;;;;
3;05/06/2023;18:00:20;27.91;;;;3;05/06/2023;18:01:12;28.05;;;;3;05/06/2023;18:02:53;28.34;;;;
4;05/06/2023;18:01:20;27.68;;;;4;05/06/2023;18:02:12;27.74;;;;4;05/06/2023;18:03:53;27.97;;;;
5;05/06/2023;18:02:20;27.48;;;;5;05/06/2023;18:03:12;27.49;;;;5;05/06/2023;18:04:53;27.41;;;;
6;05/06/2023;18:03:20;27.34;Synchronized;;;6;05/06/2023;18:04:12;27.28;;;;6;05/06/2023;18:05:53;26.96;;;;
7;05/06/2023;18:04:20;27.21;;;;7;05/06/2023;18:05:13;26.98;;;;7;05/06/2023;18:06:52;26.61;;;;
8;05/06/2023;18:05:20;26.88;;;;8;05/06/2023;18:06:13;26.67;;;;8;05/06/2023;18:07:52;26.34;;;;
9;05/06/2023;18:06:20;26.56;;;;9;05/06/2023;18:07:13;26.39;;;;9;05/06/2023;18:08:52;26.13;;;;
10;05/06/2023;18:07:21;26.27;;;;10;05/06/2023;18:08:13;26.16;;;;10;05/06/2023;18:09:52;25.98;;;;
11;05/06/2023;18:08:21;26.06;;;;11;05/06/2023;18:09:13;25.96;;;;11;05/06/2023;18:10:52;25.84;;;;
12;05/06/2023;18:09:21;25.9;;;;12;05/06/2023;18:10:13;25.83;;;;12;05/06/2023;18:11:52;25.74;;;;
13;05/06/2023;18:10:20;25.76;;;;13;05/06/2023;18:11:13;25.7;;;;13;05/06/2023;18:12:52;25.66;;;;
14;05/06/2023;18:11:20;25.63;;;;14;05/06/2023;18:12:13;25.58;;;;14;05/06/2023;18:13:52;25.61;;;;
15;05/06/2023;18:12:20;25.55;;;;15;05/06/2023;18:13:13;25.52;;;;15;05/06/2023;18:14:51;25.54;;;;
16;05/06/2023;18:13:20;25.48;;;;16;05/06/2023;18:14:13;25.43;;;;16;05/06/2023;18:15:51;25.52;;;;
17;05/06/2023;18:14:21;25.43;;;;17;05/06/2023;18:15:13;25.39;;;;17;05/06/2023;18:16:51;25.51;;;;
