SenseLab_M01;
Time Zone;UTC+2:00;
Monitor;80.80.12.F1;
;
Pill n°1;24.00.1A.0B;;;;;;Pill n°2;24.00.20.3A;;;;;;Pill n°3;24.00.1A.0B;;;;;;
Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;
1;06/06/2023;17:37:11;26.39;;;;1;06/06/2023;17:39:01;27.14;;;;1;05/06/2023;17:45:46;28.35;;;;
2;06/06/2023;17:38:11;27.01;;;;2;06/06/2023;17:40:01;27.73;;;;2;05/06/2023;17:46:46;28.47;;;;
3;06/06/2023;17:39:11;26.74;Synchronized;;;3;06/06/2023;17:41:01;27.2;;;;3;05/06/2023;17:47:46;28.12;;;;
4;06/06/2023;17:40:11;26.41;;;;4;06/06/2023;17:42:01;26.77;;;;4;05/06/2023;17:48:46;27.84;;;;
5;06/06/2023;17:41:11;26.13;;;;5;06/06/2023;17:43:01;26.41;;;;5;05/06/2023;17:49:46;27.62;;;;
6;06/06/2023;17:42:11;25.93;;;;6;06/06/2023;17:44:01;26.16;;;;6;05/06/2023;17:50:46;27.45;;;;
7;06/06/2023;17:43:11;25.74;;;;7;06/06/2023;17:45:00;25.91;;;;7;05/06/2023;17:51:46;27.33;;;;
8;06/06/2023;17:44:11;25.59;;;;8;06/06/2023;17:46:00;25.73;;;;8;05/06/2023;17:52:46;27.24;;;;
9;06/06/2023;17:45:11;25.51;;;;9;06/06/2023;17:47:00;25.63;;;;9;05/06/2023;17:53:47;27.15;;;;
10;06/06/2023;17:46:11;25.42;;;;10;06/06/2023;17:48:00;25.52;;;;10;05/06/2023;17:54:47;27.13;;;;
11;06/06/2023;17:47:11;25.38;;;;11;06/06/2023;17:49:00;25.43;;;;11;05/06/2023;17:55:47;27.1;;;;
12;06/06/2023;17:48:11;25.32;;;;12;06/06/2023;17:50:00;25.37;;;;12;05/06/2023;17:56:47;27.09;;;;
13;06/06/2023;17:49:11;25.27;;;;13;06/06/2023;17:51:00;25.28;;;;13;05/06/2023;17:57:47;27.03;;;;
14;06/06/2023;17:50:11;25.22;;;;14;06/06/2023;17:52:00;25.23;;;;14;05/06/2023;17:58:47;27.02;;;;
15;06/06/2023;17:51:11;25.18;;;;15;06/06/2023;17:53:00;25.16;;;;15;05/06/2023;17:59:47;26.98;;;;
16;06/06/2023;17:52:11;25.13;;;;16;06/06/2023;17:54:00;25.12;;;;16;05/06/2023;18:00:47;26.95;;;;
17;06/06/2023;17:53:11;25.09;;;;17;06/06/2023;17:55:00;25.08;;;;17;05/06/2023;18:01:47;26.95;;;;
18;06/06/2023;17:54:11;25.05;;;;18;06/06/2023;17:56:00;25.05;;;;18;05/06/2023;18:02:47;26.94;;;;
19;06/06/2023;17:55:11;25.02;;;;19;06/06/2023;17:57:00;25.01;;;;19;05/06/2023;18:03:47;26.98;;;;
20;06/06/2023;17:56:11;24.97;;;;20;06/06/2023;17:58:00;24.99;Synchronized;;;20;05/06/2023;18:04:47;26.87;;;;
21;06/06/2023;17:57:11;24.97;Synchronized;;;21;06/06/2023;17:59:00;24.98;Synchronized;;;21;05/06/2023;18:05:47;26.7;;;;
22;06/06/2023;17:58:11;24.97;Synchronized;;;22;06/06/2023;18:00:00;25.36;;;;22;05/06/2023;18:06:47;26.45;;;;
23;06/06/2023;17:59:11;24.94;Synchronized;;;23;06/06/2023;18:01:00;25.51;;;;23;05/06/2023;18:07:47;26.23;;;;
24;06/06/2023;18:00:11;25.17;;;;24;06/06/2023;18:02:00;25.59;;;;24;05/06/2023;18:08:47;26.04;;;;
25;06/06/2023;18:01:11;25.32;;;;25;06/06/2023;18:03:00;25.65;;;;25;05/06/2023;18:09:47;25.86;;;;
26;06/06/2023;18:02:11;25.42;;;;26;06/06/2023;18:04:00;25.69;;;;26;05/06/2023;18:10:47;25.73;;;;
27;06/06/2023;18:03:11;25.52;;;;27;06/06/2023;18:05:00;25.69;;;;27;05/06/2023;18:11:47;25.64;;;;
28;06/06/2023;18:04:11;25.54;;;;28;06/06/2023;18:06:00;25.71;;;;28;05/06/2023;18:12:47;25.53;;;;
29;06/06/2023;18:05:11;25.58;;;;29;06/06/2023;18:07:00;25.73;;;;29;05/06/2023;18:13:47;25.46;;;;
30;06/06/2023;18:06:11;25.59;;;;30;06/06/2023;18:07:59;25.73;;;;30;05/06/2023;18:14:47;25.42;;;;
31;06/06/2023;18:07:11;25.61;;;;31;06/06/2023;18:08:59;25.72;;;;31;05/06/2023;18:15:47;25.37;;;;
32;06/06/2023;18:08:11;25.63;;;;32;06/06/2023;18:09:59;25.75;;;;32;05/06/2023;18:16:47;25.4;;;;
33;06/06/2023;18:09:11;25.64;;;;33;06/06/2023;18:10:59;25.75;;;;33;05/06/2023;18:17:47;25.41;;;;
34;06/06/2023;18:10:11;25.63;;;;34;06/06/2023;18:11:59;25.73;;;;34;05/06/2023;18:18:47;25.39;;;;
35;06/06/2023;18:11:11;25.65;;;;35;06/06/2023;18:12:59;25.76;;;;35;05/06/2023;18:19:47;25.36;;;;
36;06/06/2023;18:12:11;25.66;;;;36;06/06/2023;18:13:59;25.76;;;;36;05/06/2023;18:20:47;25.32;;;;
