SenseLab_M01;
Time Zone;UTC+2:00;
Monitor;80.80.12.F1;
;
Pill n°1;24.00.1B.9F;;;;;;Pill n°2;24.00.1E.1C;;;;;;Pill n°3;24.00.1D.2A;;;;;;
Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;
1;07/06/2023;18:21:28;29.2;;;;1;07/06/2023;18:25:03;28.09;;;;1;07/06/2023;18:25:57;27.18;;;;
2;07/06/2023;18:22:28;29.44;Synchronized;;;2;07/06/2023;18:26:03;28.81;;;;2;07/06/2023;18:26:57;28.24;;;;
3;07/06/2023;18:23:28;29.11;;;;3;07/06/2023;18:27:03;28.69;;;;3;07/06/2023;18:27:56;28.24;;;;
4;07/06/2023;18:24:28;28.81;;;;4;07/06/2023;18:28:03;29.13;;;;4;07/06/2023;18:28:56;28.19;;;;
5;07/06/2023;18:25:28;28.63;Synchronized;;;5;07/06/2023;18:29:03;29.21;;;;5;07/06/2023;18:29:56;28.19;;;;
6;07/06/2023;18:26:28;28.58;;;;6;07/06/2023;18:30:03;29.17;;;;6;07/06/2023;18:30:56;28.69;Synchronized;;;
7;07/06/2023;18:27:28;28.72;;;;7;07/06/2023;18:31:03;29.68;;;;7;07/06/2023;18:31:56;28.78;;;;
8;07/06/2023;18:28:28;29.09;;;;8;07/06/2023;18:32:03;29.36;;;;8;07/06/2023;18:32:56;28.47;;;;
9;07/06/2023;18:29:27;29.27;;;;9;07/06/2023;18:33:03;28.97;;;;9;07/06/2023;18:33:56;28.33;;;;
10;07/06/2023;18:30:27;29.34;;;;10;07/06/2023;18:34:03;28.7;;;;10;07/06/2023;18:34:56;28.2;;;;
11;07/06/2023;18:31:27;29.59;;;;11;07/06/2023;18:35:03;28.53;;;;11;07/06/2023;18:35:56;28.13;;;;
12;07/06/2023;18:32:27;29.27;;;;12;07/06/2023;18:36:03;28.39;;;;12;07/06/2023;18:36:56;28.05;;;;
13;07/06/2023;18:33:27;28.99;;;;13;07/06/2023;18:37:03;28.27;Synchronized;;;13;07/06/2023;18:37:56;27.97;Synchronized;;;
14;07/06/2023;18:34:27;28.75;;;;14;07/06/2023;18:38:03;28.2;Synchronized;;;14;07/06/2023;18:38:56;27.92;Synchronized;;;
15;07/06/2023;18:35:27;28.59;;;;15;07/06/2023;18:39:03;28.09;Synchronized;;;15;07/06/2023;18:39:56;27.89;Synchronized;;;
16;07/06/2023;18:36:27;28.44;Synchronized;;;16;07/06/2023;18:40:03;28.02;Synchronized;;;16;07/06/2023;18:40:56;27.84;Synchronized;;;
17;07/06/2023;18:37:27;28.3;Synchronized;;;17;07/06/2023;18:41:03;27.98;Synchronized;;;17;07/06/2023;18:41:56;27.82;Synchronized;;;
18;07/06/2023;18:38:27;28.2;Synchronized;;;18;07/06/2023;18:42:03;27.91;Synchronized;;;18;07/06/2023;18:42:56;27.78;Synchronized;;;
19;07/06/2023;18:39:27;28.13;Synchronized;;;19;07/06/2023;18:43:03;27.91;Synchronized;;;19;07/06/2023;18:43:55;27.77;Synchronized;;;
20;07/06/2023;18:40:27;28.09;Synchronized;;;20;07/06/2023;18:44:03;27.86;Synchronized;;;20;07/06/2023;18:44:55;27.74;Synchronized;;;
21;07/06/2023;18:41:27;28.05;Synchronized;;;21;07/06/2023;18:45:03;27.83;Synchronized;;;21;07/06/2023;18:45:55;27.76;Synchronized;;;
22;07/06/2023;18:42:27;27.98;Synchronized;;;22;07/06/2023;18:46:03;27.82;Synchronized;;;22;07/06/2023;18:46:55;27.74;Synchronized;;;
23;07/06/2023;18:43:27;27.96;Synchronized;;;23;07/06/2023;18:47:03;27.82;Synchronized;;;23;07/06/2023;18:47:55;27.75;Synchronized;;;
24;07/06/2023;18:44:27;27.95;Synchronized;;;24;07/06/2023;18:48:03;27.82;Synchronized;;;24;07/06/2023;18:48:55;27.74;Synchronized;;;
25;07/06/2023;18:45:26;27.95;Synchronized;;;25;07/06/2023;18:49:03;27.81;Synchronized;;;25;07/06/2023;18:49:55;27.75;Synchronized;;;
26;07/06/2023;18:46:26;27.91;Synchronized;;;26;07/06/2023;18:50:03;27.82;Synchronized;;;26;07/06/2023;18:50:55;27.74;Synchronized;;;
27;07/06/2023;18:47:26;27.9;Synchronized;;;27;07/06/2023;18:51:03;27.81;Synchronized;;;27;07/06/2023;18:51:55;27.75;Synchronized;;;
