SenseLab_M04;
Time Zone;UTC+2:00;
Monitor;80.80.04.73;
;
Pill n°1;24.00.1D.28;;;;;;Pill n°2;24.00.1C.45;;;;;;Pill n°3;24.00.1D.B6;;;;;;
Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;
1;07/06/2023;18:16:24;28.93;;;;1;07/06/2023;18:17:24;28.66;;;;1;07/06/2023;18:18:19;29.05;;;;
2;07/06/2023;18:17:24;29.26;;;;2;07/06/2023;18:18:24;29.05;;;;2;07/06/2023;18:19:19;29.49;;;;
3;07/06/2023;18:18:24;28.98;;;;3;07/06/2023;18:19:24;28.81;;;;3;07/06/2023;18:20:19;29.16;;;;
4;07/06/2023;18:19:24;28.8;;;;4;07/06/2023;18:20:24;28.65;;;;4;07/06/2023;18:21:19;28.88;;;;
5;07/06/2023;18:20:24;28.68;;;;5;07/06/2023;18:21:24;28.44;;;;5;07/06/2023;18:22:19;28.65;;;;
6;07/06/2023;18:21:24;28.54;;;;6;07/06/2023;18:22:24;28.3;;;;6;07/06/2023;18:23:19;28.47;;;;
7;07/06/2023;18:22:24;28.41;;;;7;07/06/2023;18:23:24;28.18;;;;7;07/06/2023;18:24:19;28.36;;;;
8;07/06/2023;18:23:24;28.33;;;;8;07/06/2023;18:24:24;28.09;;;;8;07/06/2023;18:25:19;28.27;;;;
9;07/06/2023;18:24:24;28.27;;;;9;07/06/2023;18:25:24;28.01;;;;9;07/06/2023;18:26:19;28.21;;;;
10;07/06/2023;18:25:23;28.23;;;;10;07/06/2023;18:26:24;27.98;;;;10;07/06/2023;18:27:19;28.17;;;;
11;07/06/2023;18:26:23;28.18;;;;11;07/06/2023;18:27:24;27.95;;;;11;07/06/2023;18:28:19;28.11;;;;
12;07/06/2023;18:27:23;28.16;;;;12;07/06/2023;18:28:24;27.91;;;;12;07/06/2023;18:29:19;28.1;;;;
13;07/06/2023;18:28:23;28.15;;;;13;07/06/2023;18:29:24;27.88;;;;13;07/06/2023;18:30:19;28.09;Synchronized;;;
14;07/06/2023;18:29:23;28.13;;;;14;07/06/2023;18:30:24;27.91;;;;14;07/06/2023;18:31:19;28.28;;;;
15;07/06/2023;18:30:22;28.09;;;;15;07/06/2023;18:31:24;27.98;;;;15;07/06/2023;18:32:19;28.21;;;;
