SenseLab_M01;
Time Zone;UTC+2:00;
Monitor;80.80.12.F1;
;
Pill n°1;24.00.1D.B4;;;;;;Pill n°2;24.00.1F.81;;;;;;Pill n°3;24.00.1B.26;;;;;;
Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;
1;08/06/2023;17:57:00;27.04;;;;1;08/06/2023;17:57:17;27.43;Synchronized;;;1;08/06/2023;17:59:16;28.17;;;;
2;08/06/2023;17:58:00;27.59;;;;2;08/06/2023;17:58:17;27.43;;;;2;08/06/2023;18:00:16;28.3;;;;
3;08/06/2023;17:59:00;27.52;;;;3;08/06/2023;17:59:17;27.91;;;;3;08/06/2023;18:01:16;27.96;;;;
4;08/06/2023;18:00:00;27.43;;;;4;08/06/2023;18:00:17;27.75;;;;4;08/06/2023;18:02:16;27.77;;;;
5;08/06/2023;18:01:00;27.43;Synchronized;;;5;08/06/2023;18:01:17;27.63;;;;5;08/06/2023;18:03:16;27.61;;;;
6;08/06/2023;18:02:00;27.41;;;;6;08/06/2023;18:02:17;27.55;;;;6;08/06/2023;18:04:16;27.52;;;;
7;08/06/2023;18:03:00;27.39;;;;7;08/06/2023;18:03:17;27.47;;;;7;08/06/2023;18:05:16;27.44;;;;
8;08/06/2023;18:04:00;27.38;;;;8;08/06/2023;18:04:17;27.44;;;;8;08/06/2023;18:06:16;27.37;;;;
9;08/06/2023;18:05:00;27.39;;;;9;08/06/2023;18:05:17;27.42;;;;9;08/06/2023;18:07:16;27.33;;;;
10;08/06/2023;18:06:00;27.39;;;;10;08/06/2023;18:06:17;27.38;;;;10;08/06/2023;18:08:16;27.3;;;;
11;08/06/2023;18:07:00;27.37;;;;11;08/06/2023;18:07:17;27.36;;;;11;08/06/2023;18:09:16;27.28;;;;
12;08/06/2023;18:08:00;27.38;;;;12;08/06/2023;18:08:17;27.34;;;;12;08/06/2023;18:10:16;27.23;;;;
13;08/06/2023;18:09:00;27.34;;;;13;08/06/2023;18:09:17;27.31;;;;13;08/06/2023;18:11:16;27.22;;;;
14;08/06/2023;18:09:59;27.33;;;;14;08/06/2023;18:10:17;27.28;;;;14;08/06/2023;18:12:16;27.2;;;;
15;08/06/2023;18:10:59;27.32;;;;15;08/06/2023;18:11:17;27.3;;;;15;08/06/2023;18:13:16;27.18;;;;
16;08/06/2023;18:11:59;27.31;;;;16;08/06/2023;18:12:17;27.27;;;;16;08/06/2023;18:14:16;27.19;;;;
17;08/06/2023;18:12:59;27.32;;;;17;08/06/2023;18:13:17;27.27;;;;17;08/06/2023;18:15:16;27.2;;;;
18;08/06/2023;18:13:59;27.31;;;;18;08/06/2023;18:14:17;27.27;;;;18;08/06/2023;18:16:16;27.16;;;;
19;08/06/2023;18:14:59;27.3;;;;19;08/06/2023;18:15:17;27.27;;;;19;08/06/2023;18:17:16;27.16;;;;
20;08/06/2023;18:15:59;27.3;;;;20;08/06/2023;18:16:17;27.25;;;;20;08/06/2023;18:18:16;27.16;;;;
21;08/06/2023;18:16:59;27.28;;;;21;08/06/2023;18:17:17;27.21;;;;21;08/06/2023;18:19:16;27.18;;;;
22;08/06/2023;18:17:59;27.28;;;;22;08/06/2023;18:18:17;27.23;;;;22;08/06/2023;18:20:16;27.39;;;;
23;08/06/2023;18:18:59;27.3;;;;23;08/06/2023;18:19:17;27.25;;;;23;08/06/2023;18:21:16;27.38;;;;
24;08/06/2023;18:19:59;27.34;;;;24;08/06/2023;18:20:17;27.56;;;;24;08/06/2023;18:22:16;27.38;;;;
25;08/06/2023;18:20:59;27.4;;;;25;08/06/2023;18:21:17;27.55;;;;25;08/06/2023;18:23:17;27.36;;;;
26;08/06/2023;18:21:59;27.42;;;;26;08/06/2023;18:22:17;27.54;;;;26;08/06/2023;18:24:17;27.36;;;;
27;08/06/2023;18:22:59;27.41;;;;27;08/06/2023;18:23:17;27.52;;;;27;08/06/2023;18:25:17;27.34;;;;
