SenseLab_M03;
Time Zone;UTC+2:00;
Monitor;80.80.10.EA;
;
Pill n°1;24.00.1D.01;;;;;;Pill n°2;24.00.20.24;;;;;;Pill n°3;24.00.1E.60;;;;;;
Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;
1;08/06/2023;18:04:55;28.16;;;;1;07/06/2023;18:13:08;29.06;;;;1;07/06/2023;18:14:09;28.91;;;;
2;08/06/2023;18:05:55;28.84;;;;2;07/06/2023;18:14:08;29.38;Synchronized;;;2;07/06/2023;18:15:09;29.3;;;;
3;08/06/2023;18:06:55;28.48;;;;3;07/06/2023;18:15:08;29.05;;;;3;07/06/2023;18:16:09;29.1;;;;
4;08/06/2023;18:07:54;28.25;;;;4;07/06/2023;18:16:08;28.82;;;;4;07/06/2023;18:17:09;28.82;;;;
5;08/06/2023;18:08:54;28.05;;;;5;07/06/2023;18:17:08;28.61;;;;5;07/06/2023;18:18:08;28.61;;;;
6;08/06/2023;18:09:54;27.92;;;;6;07/06/2023;18:18:07;28.44;;;;6;07/06/2023;18:19:08;28.47;;;;
7;08/06/2023;18:10:54;27.81;;;;7;07/06/2023;18:19:07;28.34;;;;7;07/06/2023;18:20:08;28.33;;;;
8;08/06/2023;18:11:54;27.72;;;;8;07/06/2023;18:20:07;28.28;;;;8;07/06/2023;18:21:08;28.23;;;;
9;08/06/2023;18:12:54;27.66;;;;9;07/06/2023;18:21:07;28.2;;;;9;07/06/2023;18:22:08;28.12;;;;
10;08/06/2023;18:13:54;27.64;;;;10;07/06/2023;18:22:07;28.11;;;;10;07/06/2023;18:23:08;28.02;;;;
11;08/06/2023;18:14:54;27.6;;;;11;07/06/2023;18:23:07;28.07;;;;11;07/06/2023;18:24:08;27.95;;;;
12;08/06/2023;18:15:54;27.55;;;;12;07/06/2023;18:24:07;28.04;;;;12;07/06/2023;18:25:08;27.9;;;;
13;08/06/2023;18:16:54;27.6;;;;13;07/06/2023;18:25:07;27.98;;;;13;07/06/2023;18:26:08;27.86;;;;
14;08/06/2023;18:17:54;27.55;;;;14;07/06/2023;18:26:07;27.98;;;;14;07/06/2023;18:27:08;27.84;;;;
15;08/06/2023;18:18:54;27.48;;;;15;07/06/2023;18:27:07;27.95;;;;15;07/06/2023;18:28:08;27.82;;;;
16;08/06/2023;18:19:54;27.45;;;;16;07/06/2023;18:28:07;27.95;;;;16;07/06/2023;18:29:08;27.83;;;;
17;08/06/2023;18:20:54;27.44;;;;17;07/06/2023;18:29:07;27.95;;;;17;07/06/2023;18:30:08;27.8;;;;
18;08/06/2023;18:21:54;27.41;;;;18;07/06/2023;18:30:07;27.95;;;;18;07/06/2023;18:31:08;28.13;;;;
19;08/06/2023;18:22:54;27.4;;;;19;07/06/2023;18:31:07;28.06;;;;19;07/06/2023;18:32:08;28.15;;;;
20;08/06/2023;18:23:54;27.35;;;;20;07/06/2023;18:32:07;28.09;;;;20;07/06/2023;18:33:08;28.14;;;;
21;08/06/2023;18:24:54;27.33;;;;21;07/06/2023;18:33:07;28.07;;;;21;07/06/2023;18:34:08;28.09;;;;
22;08/06/2023;18:25:54;27.33;;;;22;07/06/2023;18:34:07;28.05;;;;22;07/06/2023;18:35:08;28.13;;;;
23;08/06/2023;18:26:54;27.3;;;;23;07/06/2023;18:35:07;28.07;;;;23;07/06/2023;18:36:08;28.15;;;;
24;08/06/2023;18:27:54;27.29;;;;24;07/06/2023;18:36:07;28.1;;;;24;07/06/2023;18:37:08;28.13;;;;
25;08/06/2023;18:28:54;27.3;;;;25;07/06/2023;18:37:07;28.08;;;;25;07/06/2023;18:38:08;28.09;;;;
26;08/06/2023;18:29:54;27.29;;;;26;07/06/2023;18:38:07;28.08;;;;26;07/06/2023;18:39:08;28.07;;;;
27;08/06/2023;18:30:54;27.3;;;;27;07/06/2023;18:39:07;28.04;Synchronized;;;27;07/06/2023;18:40:08;28.06;;;;
28;08/06/2023;18:31:54;27.3;;;;28;07/06/2023;18:40:07;28.03;;;;28;07/06/2023;18:41:08;28.02;;;;
29;08/06/2023;18:32:54;27.3;;;;29;07/06/2023;18:41:07;27.99;;;;29;07/06/2023;18:42:08;28.02;;;;
30;08/06/2023;18:33:54;27.32;;;;30;07/06/2023;18:42:07;27.99;;;;30;07/06/2023;18:43:08;28.01;;;;
31;08/06/2023;18:34:54;27.31;;;;31;07/06/2023;18:43:07;27.99;;;;31;07/06/2023;18:44:08;27.99;;;;
32;08/06/2023;18:35:54;27.32;;;;32;07/06/2023;18:44:07;27.98;;;;32;07/06/2023;18:45:08;27.99;;;;
33;08/06/2023;18:36:54;27.34;;;;33;07/06/2023;18:45:07;27.99;Synchronized;;;33;07/06/2023;18:46:08;28.01;;;;
34;08/06/2023;18:37:54;27.32;;;;34;07/06/2023;18:46:06;27.98;;;;34;07/06/2023;18:47:08;27.98;;;;
35;08/06/2023;18:38:54;27.34;;;;35;07/06/2023;18:47:06;27.96;;;;35;07/06/2023;18:48:08;27.99;;;;
36;08/06/2023;18:39:54;27.34;;;;36;07/06/2023;18:48:06;27.98;Synchronized;;;36;07/06/2023;18:49:08;28;;;;
37;08/06/2023;18:40:54;27.34;;;;37;07/06/2023;18:49:06;27.98;;;;37;07/06/2023;18:50:08;27.99;;;;
38;08/06/2023;18:41:54;27.34;;;;38;07/06/2023;18:50:06;27.99;;;;38;07/06/2023;18:51:08;28;;;;
39;08/06/2023;18:42:54;27.34;;;;39;07/06/2023;18:51:06;27.96;;;;39;07/06/2023;18:52:08;27.99;;;;
40;08/06/2023;18:43:54;27.34;;;;40;07/06/2023;18:52:06;28;;;;40;07/06/2023;18:53:08;27.98;;;;
41;08/06/2023;18:44:54;27.34;;;;41;07/06/2023;18:53:06;27.98;;;;41;07/06/2023;18:54:08;27.99;;;;
42;08/06/2023;18:45:54;27.35;;;;42;07/06/2023;18:54:06;27.99;;;;42;07/06/2023;18:55:08;28;;;;
43;08/06/2023;18:46:54;27.35;;;;43;07/06/2023;18:55:06;27.98;;;;43;07/06/2023;18:56:08;28;;;;
44;08/06/2023;18:47:54;27.34;;;;44;07/06/2023;18:56:06;27.99;;;;44;07/06/2023;18:57:08;27.98;;;;
45;08/06/2023;18:48:54;27.33;;;;45;07/06/2023;18:57:06;27.97;;;;45;07/06/2023;18:58:08;27.99;;;;
46;08/06/2023;18:49:54;27.34;;;;46;07/06/2023;18:58:06;27.98;;;;46;07/06/2023;18:59:08;27.98;;;;
47;08/06/2023;18:50:54;27.32;;;;47;07/06/2023;18:59:06;27.96;;;;47;07/06/2023;19:00:08;27.98;Synchronized;;;
48;08/06/2023;18:51:54;27.31;;;;48;07/06/2023;19:00:06;27.95;;;;48;07/06/2023;19:01:08;27.99;;;;
49;08/06/2023;18:52:54;27.31;;;;49;07/06/2023;19:01:06;27.96;;;;49;07/06/2023;19:02:08;27.98;;;;
50;08/06/2023;18:53:54;27.28;;;;50;07/06/2023;19:02:06;27.99;;;;50;07/06/2023;19:03:08;28;;;;
51;08/06/2023;18:54:54;27.29;;;;51;07/06/2023;19:03:06;27.98;;;;51;07/06/2023;19:04:08;27.99;;;;
