SenseLab_M04;
Time Zone;UTC+2:00;
Monitor;80.80.04.73;
;
Pill n°1;24.00.14.1A;;;;;;Pill n°2;24.00.1C.45;;;;;;Pill n°3;24.00.1D.B6;;;;;;
Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;
1;08/06/2023;18:13:08;28.2;;;;1;07/06/2023;18:17:24;28.66;;;;1;07/06/2023;18:18:19;29.05;;;;
2;08/06/2023;18:14:08;28.66;;;;2;07/06/2023;18:18:24;29.05;;;;2;07/06/2023;18:19:19;29.49;;;;
3;08/06/2023;18:15:08;28.53;;;;3;07/06/2023;18:19:24;28.81;;;;3;07/06/2023;18:20:19;29.16;;;;
4;08/06/2023;18:16:08;28.42;;;;4;07/06/2023;18:20:24;28.65;;;;4;07/06/2023;18:21:19;28.88;;;;
5;08/06/2023;18:17:08;28.76;;;;5;07/06/2023;18:21:24;28.44;;;;5;07/06/2023;18:22:19;28.65;;;;
6;08/06/2023;18:18:08;28.42;;;;6;07/06/2023;18:22:24;28.3;;;;6;07/06/2023;18:23:19;28.47;;;;
7;08/06/2023;18:19:08;28.15;;;;7;07/06/2023;18:23:24;28.18;;;;7;07/06/2023;18:24:19;28.36;;;;
8;08/06/2023;18:20:08;27.93;;;;8;07/06/2023;18:24:24;28.09;;;;8;07/06/2023;18:25:19;28.27;;;;
9;08/06/2023;18:21:08;27.79;;;;9;07/06/2023;18:25:24;28.01;;;;9;07/06/2023;18:26:19;28.21;;;;
10;08/06/2023;18:22:08;27.69;;;;10;07/06/2023;18:26:24;27.98;;;;10;07/06/2023;18:27:19;28.17;;;;
11;08/06/2023;18:23:08;27.61;;;;11;07/06/2023;18:27:24;27.95;;;;11;07/06/2023;18:28:19;28.11;;;;
12;08/06/2023;18:24:08;27.52;;;;12;07/06/2023;18:28:24;27.91;;;;12;07/06/2023;18:29:19;28.1;;;;
13;08/06/2023;18:25:07;27.47;;;;13;07/06/2023;18:29:24;27.88;;;;13;07/06/2023;18:30:19;28.09;Synchronized;;;
14;08/06/2023;18:26:07;27.43;;;;14;07/06/2023;18:30:24;27.91;;;;14;07/06/2023;18:31:19;28.28;;;;
