SenseLab_M05;
Time Zone;UTC+2:00;
Monitor;80.80.10.43;
;
Pill n°1;24.00.1A.D0;;;;;;Pill n°2;24.00.1B.19;;;;;;Pill n°3;24.00.1A.F0;;;;;;
Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;
1;12/06/2023;09:10:04;26.49;;;;1;06/06/2023;17:29:37;26.11;;;;1;06/06/2023;17:30:54;26.17;;;;
2;12/06/2023;09:10:19;26.93;Synchronized;;;2;06/06/2023;17:30:37;26.47;Synchronized;;;2;06/06/2023;17:31:54;27;;;;
3;12/06/2023;09:10:34;27;;;;3;06/06/2023;17:31:37;26.08;Synchronized;;;3;06/06/2023;17:32:54;26.59;;;;
4;12/06/2023;09:10:49;26.96;;;;4;06/06/2023;17:32:37;25.84;;;;4;06/06/2023;17:33:53;26.23;;;;
5;12/06/2023;09:11:04;26.95;;;;5;06/06/2023;17:33:37;25.6;;;;5;06/06/2023;17:34:53;25.95;;;;
6;12/06/2023;09:11:19;27.1;;;;6;06/06/2023;17:34:37;25.45;;;;6;06/06/2023;17:35:53;25.73;;;;
7;12/06/2023;09:11:34;27.35;;;;7;06/06/2023;17:35:37;25.35;;;;7;06/06/2023;17:36:53;25.57;;;;
8;12/06/2023;09:11:49;27.63;;;;8;06/06/2023;17:36:37;25.25;;;;8;06/06/2023;17:37:53;25.41;;;;
9;12/06/2023;09:12:04;27.8;;;;9;06/06/2023;17:37:37;25.15;;;;9;06/06/2023;17:38:53;25.27;;;;
10;12/06/2023;09:12:19;27.73;;;;10;06/06/2023;17:38:37;25.11;;;;10;06/06/2023;17:39:53;25.2;;;;
11;12/06/2023;09:12:34;27.66;;;;11;06/06/2023;17:39:37;25.02;;;;11;06/06/2023;17:40:53;25.19;;;;
12;12/06/2023;09:12:49;27.55;;;;12;06/06/2023;17:40:37;25.05;;;;12;06/06/2023;17:41:52;25.12;;;;
13;12/06/2023;09:13:04;27.48;;;;13;06/06/2023;17:41:37;25.02;;;;13;06/06/2023;17:42:52;25.08;;;;
14;12/06/2023;09:13:19;27.38;;;;14;06/06/2023;17:42:37;25.02;Synchronized;;;14;06/06/2023;17:43:52;25.05;;;;
15;12/06/2023;09:13:33;27.28;;;;15;06/06/2023;17:43:37;25.01;;;;15;06/06/2023;17:44:52;25.01;;;;
16;12/06/2023;09:13:48;27.23;;;;16;06/06/2023;17:44:37;24.96;;;;16;06/06/2023;17:45:52;24.98;;;;
17;12/06/2023;09:14:03;27.16;;;;17;06/06/2023;17:45:37;24.96;;;;17;06/06/2023;17:46:52;25;;;;
18;12/06/2023;09:14:18;27.09;;;;18;06/06/2023;17:46:37;24.96;;;;18;06/06/2023;17:47:52;24.99;;;;
19;12/06/2023;09:14:33;27.03;;;;19;06/06/2023;17:47:37;24.96;;;;19;06/06/2023;17:48:52;24.99;;;;
20;12/06/2023;09:14:48;26.99;Synchronized;;;20;06/06/2023;17:48:37;24.96;;;;20;06/06/2023;17:49:51;24.98;;;;
21;12/06/2023;09:15:03;26.94;;;;21;06/06/2023;17:49:37;25;;;;21;06/06/2023;17:50:51;24.98;;;;
22;12/06/2023;09:15:18;26.88;;;;22;06/06/2023;17:50:37;24.97;;;;22;06/06/2023;17:51:51;24.97;;;;
23;12/06/2023;09:15:33;26.83;;;;23;06/06/2023;17:51:37;24.97;;;;23;06/06/2023;17:52:51;24.95;;;;
24;12/06/2023;09:15:48;26.77;;;;24;06/06/2023;17:52:37;24.96;;;;24;06/06/2023;17:53:50;24.93;;;;
25;12/06/2023;09:16:03;26.73;;;;25;06/06/2023;17:53:37;24.95;;;;25;06/06/2023;17:54:50;24.89;;;;
26;12/06/2023;09:16:18;26.66;;;;26;06/06/2023;17:54:37;24.95;;;;26;06/06/2023;17:55:50;24.91;;;;
27;12/06/2023;09:16:33;26.63;;;;27;06/06/2023;17:55:37;24.94;;;;27;06/06/2023;17:56:50;24.9;;;;
28;12/06/2023;09:16:48;26.59;;;;28;06/06/2023;17:56:37;24.91;;;;28;06/06/2023;17:57:50;24.91;Synchronized;;;
29;12/06/2023;09:17:03;26.56;;;;29;06/06/2023;17:57:37;24.91;Synchronized;;;29;06/06/2023;17:58:49;24.86;Synchronized;;;
30;12/06/2023;09:17:18;26.52;;;;30;06/06/2023;17:58:37;24.89;Synchronized;;;30;06/06/2023;17:59:49;25.22;;;;
31;12/06/2023;09:17:33;26.48;;;;31;06/06/2023;17:59:37;25.2;Synchronized;;;31;06/06/2023;18:00:49;25.45;;;;
32;12/06/2023;09:17:48;26.47;;;;32;06/06/2023;18:00:37;25.59;;;;32;06/06/2023;18:01:49;25.52;;;;
33;12/06/2023;09:18:03;26.44;;;;33;06/06/2023;18:01:37;25.67;;;;33;06/06/2023;18:02:49;25.59;;;;
34;12/06/2023;09:18:18;26.39;;;;34;06/06/2023;18:02:37;25.73;;;;34;06/06/2023;18:03:49;25.63;;;;
35;12/06/2023;09:18:33;26.36;;;;35;06/06/2023;18:03:37;25.75;;;;35;06/06/2023;18:04:49;25.67;;;;
36;12/06/2023;09:18:48;26.33;;;;36;06/06/2023;18:04:37;25.77;;;;36;06/06/2023;18:05:49;25.66;;;;
37;12/06/2023;09:19:03;26.32;;;;37;06/06/2023;18:05:37;25.73;;;;37;06/06/2023;18:06:48;25.68;;;;
38;12/06/2023;09:19:18;26.28;;;;38;06/06/2023;18:06:37;25.75;;;;38;06/06/2023;18:07:48;25.68;;;;
39;12/06/2023;09:19:33;26.27;;;;39;06/06/2023;18:07:37;25.74;;;;39;06/06/2023;18:08:48;25.7;;;;
40;12/06/2023;09:19:48;26.27;;;;40;06/06/2023;18:08:37;25.75;;;;40;06/06/2023;18:09:48;25.7;;;;
41;12/06/2023;09:20:03;26.24;;;;41;06/06/2023;18:09:37;25.73;;;;41;06/06/2023;18:10:48;25.72;;;;
42;12/06/2023;09:20:18;26.23;;;;42;06/06/2023;18:10:36;25.73;;;;42;06/06/2023;18:11:48;25.74;;;;
43;12/06/2023;09:20:33;26.22;;;;43;06/06/2023;18:11:36;25.72;;;;43;06/06/2023;18:12:47;25.73;;;;
44;12/06/2023;09:20:48;26.17;;;;44;06/06/2023;18:12:36;25.73;;;;44;06/06/2023;18:13:47;25.73;;;;
45;12/06/2023;09:21:03;26.18;;;;45;06/06/2023;18:13:36;25.71;;;;45;06/06/2023;18:14:47;25.73;;;;
46;12/06/2023;09:21:18;26.15;;;;46;06/06/2023;18:14:36;25.69;;;;46;06/06/2023;18:15:47;25.74;;;;
47;12/06/2023;09:21:33;26.14;;;;47;06/06/2023;18:15:36;25.71;;;;47;06/06/2023;18:16:47;25.74;;;;
