SenseLab_M01;
Time Zone;UTC+2:00;
Monitor;80.80.12.F1;
;
Pill n°1;24.00.1D.C6;;;;;;Pill n°2;24.00.18.7E;;;;;;Pill n°3;24.00.1D.D5;;;;;;
Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;
1;16/06/2023;15:06:22;29.05;;;;1;16/06/2023;15:07:28;28.27;;;;1;16/06/2023;15:08:25;28.11;;;;
2;16/06/2023;15:07:23;29.27;;;;2;16/06/2023;15:08:28;28.72;;;;2;16/06/2023;15:09:25;28.6;;;;
3;16/06/2023;15:08:22;28.87;;;;3;16/06/2023;15:09:27;28.41;;;;3;16/06/2023;15:10:25;28.3;;;;
4;16/06/2023;15:09:22;28.59;Synchronized;;;4;16/06/2023;15:10:27;28.2;;;;4;16/06/2023;15:11:25;28.13;;;;
5;16/06/2023;15:10:22;28.39;;;;5;16/06/2023;15:11:27;28.06;;;;5;16/06/2023;15:12:25;28;;;;
6;16/06/2023;15:11:22;28.21;;;;6;16/06/2023;15:12:27;27.96;;;;6;16/06/2023;15:13:25;27.9;;;;
7;16/06/2023;15:12:22;28.12;;;;7;16/06/2023;15:13:27;27.87;;;;7;16/06/2023;15:14:25;27.82;;;;
8;16/06/2023;15:13:22;28.02;;;;8;16/06/2023;15:14:28;27.82;;;;8;16/06/2023;15:15:25;27.76;;;;
9;16/06/2023;15:14:22;27.94;;;;9;16/06/2023;15:15:27;27.75;;;;9;16/06/2023;15:16:25;27.73;;;;
10;16/06/2023;15:15:22;27.87;;;;10;16/06/2023;15:16:28;27.7;;;;10;16/06/2023;15:17:25;27.68;;;;
11;16/06/2023;15:16:22;27.79;;;;11;16/06/2023;15:17:28;27.66;;;;11;16/06/2023;15:18:25;27.65;;;;
12;16/06/2023;15:17:22;27.76;;;;12;16/06/2023;15:18:28;27.63;;;;12;16/06/2023;15:19:25;27.66;;;;
13;16/06/2023;15:18:22;27.71;;;;13;16/06/2023;15:19:28;27.62;;;;13;16/06/2023;15:24:25;27.71;;;;
14;16/06/2023;15:19:22;27.71;;;;14;16/06/2023;15:20:28;27.63;;;;14;16/06/2023;15:29:25;27.77;;;;
15;16/06/2023;15:20:22;27.71;;;;15;16/06/2023;15:21:28;27.63;;;;15;16/06/2023;15:34:25;28.05;;;;
16;16/06/2023;15:21:22;27.71;;;;16;16/06/2023;15:22:28;27.65;;;;16;16/06/2023;15:39:25;27.8;;;;
17;16/06/2023;15:22:22;27.71;;;;17;16/06/2023;15:23:28;27.66;;;;17;16/06/2023;15:44:24;27.65;;;;
18;16/06/2023;15:23:22;27.71;;;;18;16/06/2023;15:24:28;27.66;;;;18;16/06/2023;15:49:24;27.62;;;;
19;16/06/2023;15:24:22;27.73;;;;19;16/06/2023;15:25:28;27.66;;;;19;16/06/2023;15:54:24;27.63;;;;
20;16/06/2023;15:25:21;27.75;;;;20;16/06/2023;15:26:28;27.66;Synchronized;;;20;16/06/2023;15:59:23;27.73;;;;
21;16/06/2023;15:26:21;27.74;;;;21;16/06/2023;15:27:28;27.67;;;;21;16/06/2023;16:04:23;27.68;;;;
22;16/06/2023;15:27:21;27.75;;;;22;16/06/2023;15:28:28;27.7;;;;22;16/06/2023;16:09:22;27.68;;;;
23;16/06/2023;15:28:21;27.77;;;;23;16/06/2023;15:29:28;27.73;;;;23;16/06/2023;16:14:22;28.2;;;;
24;16/06/2023;15:29:21;27.78;;;;24;16/06/2023;15:30:28;27.71;;;;24;16/06/2023;16:19:22;28.09;;;;
25;16/06/2023;15:30:21;27.8;;;;25;16/06/2023;15:31:28;27.73;;;;25;16/06/2023;16:24:21;27.95;;;;
26;16/06/2023;15:31:21;27.8;;;;26;16/06/2023;15:32:28;27.74;Synchronized;;;26;16/06/2023;16:29:21;27.44;;;;
27;16/06/2023;15:32:21;27.77;Synchronized;;;27;16/06/2023;15:33:28;27.73;;;;27;16/06/2023;16:34:20;26.95;;;;
28;16/06/2023;15:33:21;27.81;;;;28;16/06/2023;15:34:28;27.72;;;;28;16/06/2023;16:39:20;26.79;;;;
29;16/06/2023;15:34:21;27.89;;;;29;16/06/2023;15:35:28;27.71;;;;29;16/06/2023;16:44:19;27.2;;;;
30;16/06/2023;15:35:21;28.02;;;;30;16/06/2023;15:36:28;27.73;;;;30;16/06/2023;16:49:18;27.24;;;;
31;16/06/2023;15:36:21;28.2;;;;31;16/06/2023;15:37:28;27.73;;;;31;16/06/2023;16:54:17;27.09;;;;
32;16/06/2023;15:37:21;28.15;;;;32;16/06/2023;15:42:28;27.68;;;;32;16/06/2023;16:59:16;26.95;;;;
33;16/06/2023;15:38:21;28.07;;;;33;16/06/2023;15:47:29;27.66;;;;33;16/06/2023;17:04:16;26.96;;;;
34;16/06/2023;15:39:21;28.02;;;;34;16/06/2023;15:52:29;27.73;;;;34;16/06/2023;17:09:15;27;;;;
35;16/06/2023;15:40:21;27.95;;;;35;16/06/2023;15:57:29;27.76;;;;35;16/06/2023;17:14:14;26.94;;;;
36;16/06/2023;15:41:21;27.95;;;;36;16/06/2023;16:02:29;27.77;;;;36;16/06/2023;17:19:13;26.89;;;;
37;16/06/2023;15:42:21;27.88;;;;37;16/06/2023;16:07:29;27.73;;;;37;16/06/2023;17:24:12;26.91;;;;
38;16/06/2023;15:43:21;27.83;;;;38;16/06/2023;16:12:29;27.83;;;;38;16/06/2023;17:29:12;26.91;;;;
39;16/06/2023;15:48:21;27.77;;;;39;16/06/2023;16:17:29;27.95;;;;39;16/06/2023;17:34:11;26.94;;;;
40;16/06/2023;15:53:20;27.71;;;;40;16/06/2023;16:22:29;27.92;;;;40;16/06/2023;17:39:10;26.95;;;;
41;16/06/2023;15:58:20;27.72;;;;41;16/06/2023;16:27:29;27.88;;;;41;16/06/2023;17:44:09;26.93;;;;
42;16/06/2023;16:03:20;27.69;;;;42;16/06/2023;16:32:29;27.11;;;;42;16/06/2023;17:49:09;26.94;;;;
43;16/06/2023;16:08:19;27.64;;;;43;16/06/2023;16:37:29;26.8;;;;43;16/06/2023;17:54:08;26.95;;;;
44;16/06/2023;16:13:19;28.08;;;;44;16/06/2023;16:42:29;26.99;;;;44;16/06/2023;17:59:07;27;;;;
45;16/06/2023;16:18:19;28.18;;;;45;16/06/2023;16:47:29;27.13;;;;45;16/06/2023;18:04:06;27.02;;;;
46;16/06/2023;16:23:18;28.07;;;;46;16/06/2023;16:52:29;27.05;;;;46;16/06/2023;18:09:06;27;;;;
47;16/06/2023;16:28:18;27.8;;;;47;16/06/2023;16:57:29;26.85;;;;47;16/06/2023;18:14:05;27.01;;;;
48;16/06/2023;16:33:17;27.11;;;;48;16/06/2023;17:02:29;26.9;;;;48;16/06/2023;18:19:04;26.98;;;;
49;16/06/2023;16:38:16;26.84;;;;49;16/06/2023;17:07:29;26.92;;;;49;16/06/2023;18:24:03;26.98;;;;
