SenseLab_M03;
Time Zone;UTC+2:00;
Monitor;80.80.10.EA;
;
Pill n°1;24.00.1D.C8;;;;;;Pill n°2;24.00.1E.4F;;;;;;Pill n°3;24.00.1E.55;;;;;;
Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;
1;16/06/2023;15:10:19;30.13;;;;1;16/06/2023;15:12:01;28.44;;;;1;16/06/2023;15:13:45;28.93;;;;
2;16/06/2023;15:11:19;29.91;;;;2;16/06/2023;15:13:01;28.97;Synchronized;;;2;16/06/2023;15:14:45;29.35;;;;
3;16/06/2023;15:12:19;29.3;;;;3;16/06/2023;15:14:00;28.62;Synchronized;;;3;16/06/2023;15:19:45;28.06;;;;
4;16/06/2023;15:13:19;28.9;;;;4;16/06/2023;15:15:00;28.38;;;;4;16/06/2023;15:24:44;28;;;;
5;16/06/2023;15:14:19;28.6;Synchronized;;;5;16/06/2023;15:16:00;28.23;;;;5;16/06/2023;15:29:43;27.87;;;;
6;16/06/2023;15:15:19;28.37;Synchronized;;;6;16/06/2023;15:17:00;28.08;;;;6;16/06/2023;15:34:42;27.84;;;;
7;16/06/2023;15:16:19;28.21;;;;7;16/06/2023;15:18:00;28.01;;;;7;16/06/2023;15:39:42;27.79;;;;
8;16/06/2023;15:17:19;28.09;;;;8;16/06/2023;15:19:00;27.92;;;;8;16/06/2023;15:44:41;27.79;;;;
9;16/06/2023;15:18:19;27.99;;;;9;16/06/2023;15:20:00;27.88;;;;9;16/06/2023;15:49:40;28.09;;;;
10;16/06/2023;15:23:19;27.8;;;;10;16/06/2023;15:20:59;27.84;;;;10;16/06/2023;15:54:39;28.26;;;;
11;16/06/2023;15:28:19;28.28;;;;11;16/06/2023;15:21:59;27.84;;;;11;16/06/2023;15:59:38;28.37;;;;
12;16/06/2023;15:33:18;28.03;;;;12;16/06/2023;15:22:59;28.1;;;;12;16/06/2023;16:04:37;28.45;;;;
13;16/06/2023;15:38:18;27.86;;;;13;16/06/2023;15:27:59;27.94;;;;13;16/06/2023;16:09:37;28.63;;;;
14;16/06/2023;15:43:18;27.8;;;;14;16/06/2023;15:32:57;27.83;;;;14;16/06/2023;16:14:37;28.65;;;;
15;16/06/2023;15:48:17;28.57;;;;15;16/06/2023;15:37:56;27.82;;;;15;16/06/2023;16:19:37;28.12;;;;
16;16/06/2023;15:53:16;29.03;;;;16;16/06/2023;15:42:55;27.78;;;;16;16/06/2023;16:24:36;27.89;;;;
17;16/06/2023;15:58:16;29.31;;;;17;16/06/2023;15:47:54;28.49;;;;17;16/06/2023;16:29:35;27.4;;;;
18;16/06/2023;16:03:15;29.51;;;;18;16/06/2023;15:52:53;29.06;;;;18;16/06/2023;16:34:35;26.95;;;;
19;16/06/2023;16:08:14;29.29;;;;19;16/06/2023;15:57:52;29.47;;;;19;16/06/2023;16:39:34;26.82;;;;
20;16/06/2023;16:13:14;29.22;;;;20;16/06/2023;16:02:51;29.7;;;;20;16/06/2023;16:44:34;26.85;;;;
21;16/06/2023;16:18:13;28.52;;;;21;16/06/2023;16:07:50;29.83;;;;21;16/06/2023;16:49:33;26.77;;;;
22;16/06/2023;16:23:13;28.13;;;;22;16/06/2023;16:12:50;29.94;;;;22;16/06/2023;16:54:32;26.68;;;;
23;16/06/2023;16:28:12;27.75;;;;23;16/06/2023;16:17:49;28.87;;;;23;16/06/2023;16:59:32;26.59;;;;
