SenseLab_M04;
Time Zone;UTC+2:00;
Monitor;80.80.04.73;
;
Pill n°1;24.00.1D.C7;;;;;;Pill n°2;24.00.1D.43;;;;;;Pill n°3;24.00.1D.B6;;;;;;
Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;
1;16/06/2023;15:15:53;28.41;;;;1;16/06/2023;15:16:56;28.44;;;;1;07/06/2023;18:18:19;29.05;;;;
2;16/06/2023;15:16:53;28.98;Synchronized;;;2;16/06/2023;15:17:55;29.11;;;;2;07/06/2023;18:19:19;29.49;;;;
3;16/06/2023;15:17:53;28.62;;;;3;16/06/2023;15:18:56;29.08;;;;3;07/06/2023;18:20:19;29.16;;;;
4;16/06/2023;15:18:53;28.38;;;;4;16/06/2023;15:19:56;28.68;;;;4;07/06/2023;18:21:19;28.88;;;;
5;16/06/2023;15:23:53;28.01;;;;5;16/06/2023;15:20:56;28.49;;;;5;07/06/2023;18:22:19;28.65;;;;
6;16/06/2023;15:28:52;27.88;;;;6;16/06/2023;15:25:55;27.98;;;;6;07/06/2023;18:23:19;28.47;;;;
7;16/06/2023;15:33:51;27.83;;;;7;16/06/2023;15:30:56;27.85;;;;7;07/06/2023;18:24:19;28.36;;;;
8;16/06/2023;15:38:50;27.78;;;;8;16/06/2023;15:35:56;27.8;;;;8;07/06/2023;18:25:19;28.27;;;;
9;16/06/2023;15:43:50;27.71;;;;9;16/06/2023;15:40:56;27.76;;;;9;07/06/2023;18:26:19;28.21;;;;
10;16/06/2023;15:48:49;27.63;;;;10;16/06/2023;15:45:56;27.81;;;;10;07/06/2023;18:27:19;28.17;;;;
11;16/06/2023;15:53:49;27.6;;;;11;16/06/2023;15:50:56;27.97;;;;11;07/06/2023;18:28:19;28.11;;;;
12;16/06/2023;15:58:48;27.66;;;;12;16/06/2023;15:55:56;28.07;;;;12;07/06/2023;18:29:19;28.1;;;;
13;16/06/2023;16:03:48;27.67;;;;13;16/06/2023;16:00:56;28.13;;;;13;07/06/2023;18:30:19;28.09;Synchronized;;;
14;16/06/2023;16:08:47;27.66;;;;14;16/06/2023;16:05:56;28.17;;;;14;07/06/2023;18:31:19;28.28;;;;
15;16/06/2023;16:13:46;27.92;;;;15;16/06/2023;16:10:56;28.24;;;;15;07/06/2023;18:32:19;28.21;;;;
16;16/06/2023;16:18:45;27.88;;;;16;16/06/2023;16:15:56;28.23;;;;16;07/06/2023;18:33:19;28.19;;;;
17;16/06/2023;16:23:44;27.84;;;;17;16/06/2023;16:20:55;27.92;;;;17;07/06/2023;18:34:19;28.12;;;;
18;16/06/2023;16:28:43;27.6;;;;18;16/06/2023;16:25:56;27.83;;;;18;07/06/2023;18:35:19;28.16;;;;
19;16/06/2023;16:33:43;27.04;;;;19;16/06/2023;16:30:56;27.24;;;;19;07/06/2023;18:36:19;28.16;;;;
20;16/06/2023;16:38:42;26.89;;;;20;16/06/2023;16:35:56;26.95;;;;20;07/06/2023;18:37:19;28.11;;;;
21;16/06/2023;16:43:42;26.88;;;;21;16/06/2023;16:40:55;26.92;;;;21;07/06/2023;18:38:19;28.09;;;;
22;16/06/2023;16:48:42;26.85;;;;22;16/06/2023;16:45:55;26.9;;;;22;07/06/2023;18:39:19;28.07;;;;
23;16/06/2023;16:53:41;26.75;;;;23;16/06/2023;16:50:54;26.8;;;;23;07/06/2023;18:40:19;28.05;;;;
24;16/06/2023;16:58:41;26.66;;;;24;16/06/2023;16:55:54;26.67;;;;24;07/06/2023;18:41:19;28.01;;;;
25;16/06/2023;17:03:41;26.65;;;;25;16/06/2023;17:00:53;26.6;;;;25;07/06/2023;18:42:19;27.99;;;;
26;16/06/2023;17:08:40;26.71;;;;26;16/06/2023;17:05:53;26.66;;;;26;07/06/2023;18:43:19;27.99;;;;
27;16/06/2023;17:13:40;26.69;;;;27;16/06/2023;17:10:52;26.7;;;;27;07/06/2023;18:44:19;27.98;;;;
28;16/06/2023;17:18:40;26.68;Synchronized;;;28;16/06/2023;17:15:52;26.67;;;;28;07/06/2023;18:45:19;27.98;;;;
29;16/06/2023;17:23:39;26.71;;;;29;16/06/2023;17:20:51;26.68;;;;29;07/06/2023;18:46:19;27.98;;;;
30;16/06/2023;17:28:39;26.75;;;;30;16/06/2023;17:25:51;26.73;;;;30;07/06/2023;18:47:19;27.97;;;;
31;16/06/2023;17:33:38;26.77;;;;31;16/06/2023;17:30:50;26.76;;;;31;07/06/2023;18:48:19;27.98;;;;
32;16/06/2023;17:38:38;26.8;;;;32;16/06/2023;17:35:50;26.79;;;;32;07/06/2023;18:49:19;27.97;;;;
33;16/06/2023;17:43:37;26.83;;;;33;16/06/2023;17:40:49;26.8;;;;33;07/06/2023;18:50:19;27.98;;;;
34;16/06/2023;17:48:37;26.84;;;;34;16/06/2023;17:45:50;26.83;;;;34;07/06/2023;18:51:19;27.98;;;;
35;16/06/2023;17:53:37;26.88;;;;35;16/06/2023;17:50:50;26.87;;;;35;07/06/2023;18:52:19;27.98;;;;
36;16/06/2023;17:58:36;26.89;;;;36;16/06/2023;17:55:50;26.87;;;;36;07/06/2023;18:53:19;27.97;;;;
37;16/06/2023;18:03:36;26.95;;;;37;16/06/2023;18:00:49;26.91;;;;37;07/06/2023;18:54:19;27.98;;;;
38;16/06/2023;18:08:35;26.94;;;;38;16/06/2023;18:05:49;26.92;;;;38;07/06/2023;18:55:19;27.98;;;;
39;16/06/2023;18:13:35;26.91;;;;39;16/06/2023;18:10:49;26.93;;;;39;07/06/2023;18:56:19;27.98;;;;
40;16/06/2023;18:18:35;26.93;;;;40;16/06/2023;18:15:49;26.92;;;;40;07/06/2023;18:57:19;27.98;;;;
41;16/06/2023;18:23:34;26.95;;;;41;16/06/2023;18:20:48;26.93;;;;41;07/06/2023;18:58:19;27.97;;;;
42;16/06/2023;18:28:34;27.06;;;;42;16/06/2023;18:25:48;27.02;;;;42;07/06/2023;18:59:19;27.96;;;;
43;16/06/2023;18:33:33;27.09;;;;43;16/06/2023;18:30:48;27.08;;;;43;07/06/2023;19:00:19;27.95;Synchronized;;;
44;16/06/2023;18:38:33;27.04;;;;44;16/06/2023;18:35:48;27.06;;;;44;07/06/2023;19:01:19;27.96;;;;
45;16/06/2023;18:43:32;27.09;;;;45;16/06/2023;18:40:49;27.05;;;;45;07/06/2023;19:02:19;27.98;;;;
46;16/06/2023;18:48:32;27.11;;;;46;16/06/2023;18:45:49;27.09;;;;46;07/06/2023;19:03:19;27.96;;;;
47;16/06/2023;18:53:31;27.16;;;;47;16/06/2023;18:50:49;27.13;;;;47;07/06/2023;19:04:19;27.95;;;;
48;16/06/2023;18:58:31;27.23;;;;48;16/06/2023;18:55:50;27.19;;;;48;07/06/2023;19:05:19;27.97;;;;
49;16/06/2023;19:03:30;27.25;;;;49;16/06/2023;19:00:50;27.21;;;;49;07/06/2023;19:06:19;27.95;;;;
50;16/06/2023;19:08:30;27.3;;;;50;16/06/2023;19:05:50;27.25;;;;50;07/06/2023;19:07:19;27.98;;;;
51;16/06/2023;19:13:29;27.34;;;;51;16/06/2023;19:10:51;27.32;;;;51;07/06/2023;19:08:19;27.99;;;;
52;16/06/2023;19:18:28;27.31;;;;52;16/06/2023;19:15:51;27.31;;;;52;07/06/2023;19:09:19;27.99;;;;
53;16/06/2023;19:23:28;27.34;;;;53;16/06/2023;19:20:51;27.3;;;;53;07/06/2023;19:10:19;27.99;;;;
54;16/06/2023;19:28:27;27.31;;;;54;16/06/2023;19:25:52;27.3;;;;54;07/06/2023;19:11:19;28.01;;;;
55;16/06/2023;19:33:27;27.35;;;;55;16/06/2023;19:30:52;27.32;;;;55;07/06/2023;19:12:19;28.03;;;;
56;16/06/2023;19:38:26;27.41;;;;56;16/06/2023;19:35:52;27.33;;;;56;07/06/2023;19:13:19;28.01;;;;
57;16/06/2023;19:43:25;27.43;;;;57;16/06/2023;19:40:52;27.38;;;;57;07/06/2023;19:14:19;28.03;;;;
58;16/06/2023;19:48:25;27.45;;;;58;16/06/2023;19:45:53;27.42;;;;58;07/06/2023;19:15:19;28.02;;;;
59;16/06/2023;19:53:24;27.37;;;;59;16/06/2023;19:50:53;27.35;;;;59;07/06/2023;19:16:19;28;;;;
60;16/06/2023;19:58:24;27.47;;;;60;16/06/2023;19:55:53;27.36;;;;60;07/06/2023;19:17:19;27.99;;;;
61;16/06/2023;20:03:23;27.74;;;;61;16/06/2023;20:00:53;27.76;;;;61;07/06/2023;19:18:19;27.98;;;;
62;16/06/2023;20:08:22;27.56;;;;62;16/06/2023;20:05:54;27.7;;;;62;07/06/2023;19:19:19;27.99;;;;
63;16/06/2023;20:13:21;27.48;;;;63;16/06/2023;20:10:54;27.56;;;;63;07/06/2023;19:20:19;27.99;;;;
64;16/06/2023;20:18:21;27.46;;;;64;16/06/2023;20:15:54;27.48;;;;64;07/06/2023;19:21:19;28.01;;;;
65;16/06/2023;20:23:20;27.45;;;;65;16/06/2023;20:20:54;27.48;;;;65;07/06/2023;19:22:19;28.01;;;;
66;16/06/2023;20:28:20;27.41;;;;66;16/06/2023;20:25:54;27.41;;;;66;07/06/2023;19:23:19;27.99;;;;
67;16/06/2023;20:33:19;27.41;;;;67;16/06/2023;20:30:55;27.45;;;;67;07/06/2023;19:24:19;28.01;;;;
68;16/06/2023;20:38:18;27.41;;;;68;16/06/2023;20:35:55;27.43;;;;68;07/06/2023;19:25:19;28.02;;;;
69;16/06/2023;20:43:18;27.39;;;;69;16/06/2023;20:40:55;27.42;;;;69;07/06/2023;19:26:19;28.04;;;;
70;16/06/2023;20:48:17;27.38;;;;70;16/06/2023;20:45:55;27.39;;;;70;07/06/2023;19:27:19;28.03;;;;
71;16/06/2023;20:53:17;27.41;;;;71;16/06/2023;20:50:55;27.38;;;;71;07/06/2023;19:28:19;28.03;;;;
72;16/06/2023;20:58:16;27.37;;;;72;16/06/2023;20:55:56;27.39;;;;72;07/06/2023;19:29:19;28.03;Synchronized;;;
73;16/06/2023;21:03:16;27.36;;;;73;16/06/2023;21:00:56;27.39;;;;73;07/06/2023;19:30:19;28.01;;;;
74;16/06/2023;21:08:15;27.35;;;;74;16/06/2023;21:05:56;27.34;;;;74;07/06/2023;19:31:19;28.01;;;;
75;16/06/2023;21:13:14;27.31;;;;75;16/06/2023;21:10:56;27.34;;;;75;07/06/2023;19:32:19;27.95;;;;
76;16/06/2023;21:18:14;27.33;;;;76;16/06/2023;21:15:57;27.32;;;;76;07/06/2023;19:33:19;27.95;;;;
77;16/06/2023;21:23:13;27.3;;;;77;16/06/2023;21:20:57;27.32;;;;77;07/06/2023;19:34:19;27.94;;;;
78;16/06/2023;21:28:13;27.29;;;;78;16/06/2023;21:25:57;27.32;;;;78;07/06/2023;19:35:19;27.92;;;;
79;16/06/2023;21:33:12;27.27;;;;79;16/06/2023;21:30:58;27.3;;;;79;07/06/2023;19:36:19;27.91;;;;
80;16/06/2023;21:38:12;27.27;;;;80;16/06/2023;21:35:58;27.31;;;;80;07/06/2023;19:37:19;27.88;;;;
81;16/06/2023;21:43:11;27.27;;;;81;16/06/2023;21:40:58;27.28;;;;81;07/06/2023;19:38:19;27.86;;;;
82;16/06/2023;21:48:10;27.24;;;;82;16/06/2023;21:45:59;27.25;;;;82;07/06/2023;19:39:19;27.85;;;;
83;16/06/2023;21:53:10;27.23;;;;83;16/06/2023;21:50:59;27.29;;;;83;07/06/2023;19:40:19;27.84;;;;
84;16/06/2023;21:58:09;27.24;;;;84;16/06/2023;21:55:59;27.25;;;;84;07/06/2023;19:41:19;27.82;;;;
85;16/06/2023;22:03:09;27.21;;;;85;16/06/2023;22:01:00;27.23;;;;85;07/06/2023;19:42:19;27.8;;;;
86;16/06/2023;22:08:08;27.2;;;;86;16/06/2023;22:06:00;27.22;;;;86;07/06/2023;19:43:19;27.75;;;;
87;16/06/2023;22:13:08;27.17;;;;87;16/06/2023;22:11:00;27.22;;;;87;07/06/2023;19:44:19;27.73;;;;
88;16/06/2023;22:18:07;27.18;;;;88;16/06/2023;22:16:01;27.19;;;;88;07/06/2023;19:45:19;27.7;;;;
89;16/06/2023;22:23:07;27.17;;;;89;16/06/2023;22:21:01;27.19;;;;89;07/06/2023;19:46:19;27.63;;;;
90;16/06/2023;22:28:06;27.16;;;;90;16/06/2023;22:26:01;27.2;;;;90;07/06/2023;19:47:19;27.62;;;;
91;16/06/2023;22:33:06;27.14;;;;91;16/06/2023;22:31:02;27.16;;;;91;07/06/2023;19:48:19;27.56;;;;
92;16/06/2023;22:38:05;27.14;;;;92;16/06/2023;22:36:02;27.16;;;;92;07/06/2023;19:49:19;27.53;;;;
93;16/06/2023;22:43:04;27.13;;;;93;16/06/2023;22:41:03;27.16;;;;93;07/06/2023;19:50:19;27.5;;;;
94;16/06/2023;22:48:04;27.13;;;;94;16/06/2023;22:46:03;27.12;;;;94;07/06/2023;19:51:19;27.52;;;;
95;16/06/2023;22:53:03;27.12;;;;95;16/06/2023;22:51:03;27.12;;;;95;07/06/2023;19:52:19;27.56;;;;
96;16/06/2023;22:58:03;27.1;;;;96;16/06/2023;22:56:04;27.11;;;;96;07/06/2023;19:53:19;27.53;;;;
97;16/06/2023;23:03:02;27.09;;;;97;16/06/2023;23:01:04;27.09;;;;97;07/06/2023;19:54:18;27.58;;;;
