SenseLab_M01;
Time Zone;UTC+2:00;
Monitor;80.80.12.F1;
;
Pill n°1;24.00.1B.0D;;;;;;Pill n°2;24.00.1D.55;;;;;;Pill n°3;24.00.1C.28;;;;;;
Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;
1;21/06/2023;16:50:37;29.45;;;;1;21/06/2023;16:51:31;29.2;;;;1;21/06/2023;16:52:22;28.71;;;;
2;21/06/2023;16:51:37;29.52;;;;2;21/06/2023;16:52:31;29.38;Synchronized;;;2;21/06/2023;16:53:22;29.03;;;;
3;21/06/2023;16:52:37;29.32;;;;3;21/06/2023;16:53:31;29.23;;;;3;21/06/2023;16:54:22;28.98;;;;
4;21/06/2023;16:53:36;29.21;;;;4;21/06/2023;16:54:31;29.13;Synchronized;;;4;21/06/2023;16:55:22;28.97;;;;
5;21/06/2023;16:54:36;29.15;;;;5;21/06/2023;16:55:30;29.09;;;;5;21/06/2023;16:56:22;28.93;;;;
6;21/06/2023;16:55:36;29.1;;;;6;21/06/2023;16:56:30;29.04;;;;6;21/06/2023;16:57:22;28.94;;;;
7;21/06/2023;16:56:36;29.04;;;;7;21/06/2023;16:57:30;29.01;;;;7;21/06/2023;16:58:22;28.92;;;;
8;21/06/2023;16:57:36;29.02;;;;8;21/06/2023;16:58:30;28.98;;;;8;21/06/2023;16:59:22;28.92;;;;
9;21/06/2023;16:58:36;29;;;;9;21/06/2023;16:59:30;28.95;;;;9;21/06/2023;17:00:22;28.92;;;;
10;21/06/2023;16:59:36;28.98;;;;10;21/06/2023;17:00:30;28.97;;;;10;21/06/2023;17:01:22;29.19;;;;
11;21/06/2023;17:00:36;28.98;;;;11;21/06/2023;17:01:30;29.2;;;;11;21/06/2023;17:02:22;29.2;;;;
12;21/06/2023;17:01:36;29.03;;;;12;21/06/2023;17:02:30;29.13;;;;12;21/06/2023;17:03:22;29.05;;;;
13;21/06/2023;17:02:36;28.95;;;;13;21/06/2023;17:03:30;29.01;;;;13;21/06/2023;17:04:22;28.94;;;;
14;21/06/2023;17:03:36;28.84;;;;14;21/06/2023;17:04:30;28.91;;;;14;21/06/2023;17:05:22;28.84;;;;
15;21/06/2023;17:04:35;28.78;;;;15;21/06/2023;17:05:30;28.82;;;;15;21/06/2023;17:06:22;28.78;;;;
16;21/06/2023;17:05:35;28.73;;;;16;21/06/2023;17:06:30;28.76;;;;16;21/06/2023;17:07:22;28.73;;;;
17;21/06/2023;17:06:35;28.71;;;;17;21/06/2023;17:07:29;28.71;;;;17;21/06/2023;17:08:22;28.69;;;;
18;21/06/2023;17:07:35;28.67;;;;18;21/06/2023;17:08:29;28.69;;;;18;21/06/2023;17:09:22;28.66;;;;
19;21/06/2023;17:08:35;28.65;;;;19;21/06/2023;17:09:29;28.65;;;;19;21/06/2023;17:10:22;28.59;;;;
20;21/06/2023;17:09:35;28.63;;;;20;21/06/2023;17:10:29;28.63;;;;20;21/06/2023;17:11:22;28.59;Synchronized;;;
21;21/06/2023;17:10:35;28.61;;;;21;21/06/2023;17:11:29;28.61;;;;21;21/06/2023;17:12:22;28.59;;;;
22;21/06/2023;17:11:35;28.61;;;;22;21/06/2023;17:12:29;28.62;;;;22;21/06/2023;17:13:22;28.59;;;;
23;21/06/2023;17:12:35;28.59;;;;23;21/06/2023;17:13:29;28.61;;;;23;21/06/2023;17:14:22;28.57;;;;
24;21/06/2023;17:13:35;28.63;;;;24;21/06/2023;17:14:29;28.61;;;;24;21/06/2023;17:15:22;28.58;;;;
25;21/06/2023;17:14:35;28.62;;;;25;21/06/2023;17:15:29;28.62;;;;25;21/06/2023;17:16:22;28.56;Synchronized;;;
26;21/06/2023;17:15:34;28.63;;;;26;21/06/2023;17:16:29;28.6;;;;26;21/06/2023;17:17:22;28.56;Synchronized;;;
27;21/06/2023;17:16:34;28.62;;;;27;21/06/2023;17:17:28;28.62;;;;27;21/06/2023;17:18:22;28.56;Synchronized;;;
28;21/06/2023;17:17:34;28.6;;;;28;21/06/2023;17:18:28;28.62;;;;28;21/06/2023;17:19:22;28.56;Synchronized;;;
29;21/06/2023;17:18:34;28.61;;;;29;21/06/2023;17:19:28;28.6;;;;29;21/06/2023;17:20:22;28.54;Synchronized;;;
30;21/06/2023;17:19:34;28.62;;;;30;21/06/2023;17:20:28;28.59;;;;30;21/06/2023;17:21:22;28.55;Synchronized;;;
31;21/06/2023;17:20:34;28.59;;;;31;21/06/2023;17:21:28;28.59;;;;31;21/06/2023;17:22:22;28.55;Synchronized;;;
32;21/06/2023;17:21:34;28.6;;;;32;21/06/2023;17:22:28;28.58;;;;32;21/06/2023;17:23:22;28.55;Synchronized;;;
33;21/06/2023;17:22:34;28.62;;;;33;21/06/2023;17:23:28;28.58;;;;33;21/06/2023;17:24:22;28.55;Synchronized;;;
34;21/06/2023;17:23:34;28.59;;;;34;21/06/2023;17:24:28;28.6;;;;34;21/06/2023;17:25:22;28.55;Synchronized;;;
35;21/06/2023;17:24:34;28.6;;;;35;21/06/2023;17:25:28;28.6;;;;35;21/06/2023;17:26:22;28.55;Synchronized;;;
