SenseLab_M01;
Time Zone;UTC+2:00;
Monitor;80.80.12.F1;
;
Pill n°1;24.00.1B.56;;;;;;Pill n°2;24.00.1E.A8;;;;;;Pill n°3;24.00.1B.D7;;;;;;
Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;
1;22/06/2023;17:08:07;30.56;;;;1;22/06/2023;17:09:11;31.16;;;;1;22/06/2023;17:10:03;30.78;;;;
2;22/06/2023;17:09:07;31.01;Synchronized;;;2;22/06/2023;17:10:11;31.41;;;;2;22/06/2023;17:11:03;31.27;;;;
3;22/06/2023;17:10:07;30.88;;;;3;22/06/2023;17:11:11;31.22;;;;3;22/06/2023;17:12:03;31.2;;;;
4;22/06/2023;17:11:07;30.77;;;;4;22/06/2023;17:12:11;31.24;;;;4;22/06/2023;17:13:03;31.04;;;;
5;22/06/2023;17:12:07;30.97;;;;5;22/06/2023;17:13:11;31.02;;;;5;22/06/2023;17:14:03;30.84;;;;
6;22/06/2023;17:13:07;30.84;;;;6;22/06/2023;17:14:11;30.82;;;;6;22/06/2023;17:15:02;30.67;;;;
7;22/06/2023;17:14:07;30.66;;;;7;22/06/2023;17:15:11;30.64;;;;7;22/06/2023;17:16:02;30.53;;;;
8;22/06/2023;17:15:07;30.54;;;;8;22/06/2023;17:16:11;30.52;;;;8;22/06/2023;17:17:02;30.41;;;;
9;22/06/2023;17:16:07;30.43;;;;9;22/06/2023;17:17:11;30.41;;;;9;22/06/2023;17:18:02;30.31;;;;
10;22/06/2023;17:17:07;30.34;;;;10;22/06/2023;17:18:11;30.34;;;;10;22/06/2023;17:19:02;30.24;;;;
11;22/06/2023;17:18:07;30.28;;;;11;22/06/2023;17:19:11;30.27;;;;11;22/06/2023;17:20:02;30.19;;;;
12;22/06/2023;17:19:08;30.23;;;;12;22/06/2023;17:20:11;30.21;;;;12;22/06/2023;17:21:02;30.15;;;;
13;22/06/2023;17:20:08;30.19;;;;13;22/06/2023;17:21:11;30.2;;;;13;22/06/2023;17:22:02;30.12;;;;
14;22/06/2023;17:21:08;30.16;;;;14;22/06/2023;17:22:11;30.16;;;;14;22/06/2023;17:23:02;30.09;;;;
15;22/06/2023;17:22:07;30.14;;;;15;22/06/2023;17:23:11;30.15;;;;15;22/06/2023;17:24:02;30.08;;;;
16;22/06/2023;17:23:07;30.09;;;;16;22/06/2023;17:24:11;30.13;;;;16;22/06/2023;17:25:02;30.13;;;;
17;22/06/2023;17:24:07;30.1;;;;17;22/06/2023;17:25:11;30.15;;;;17;22/06/2023;17:26:02;30.23;;;;
18;22/06/2023;17:25:07;30.11;;;;18;22/06/2023;17:26:11;30.16;;;;18;22/06/2023;17:27:02;30.31;;;;
19;22/06/2023;17:26:07;30.13;;;;19;22/06/2023;17:27:11;30.17;;;;19;22/06/2023;17:28:02;30.34;;;;
20;22/06/2023;17:27:07;30.17;;;;20;22/06/2023;17:28:11;30.18;;;;20;22/06/2023;17:29:02;30.41;;;;
21;22/06/2023;17:28:07;30.16;;;;21;22/06/2023;17:29:11;30.19;;;;21;22/06/2023;17:30:02;30.49;;;;
