SenseLab_M05;
Time Zone;UTC+2:00;
Monitor;80.80.10.43;
;
Pill n°1;24.00.1E.58;;;;;;Pill n°2;24.00.1C.3A;;;;;;Pill n°3;24.00.1B.6D;;;;;;
Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;
1;22/06/2023;17:03:39;30.49;;;;1;22/06/2023;17:05:09;30.89;;;;1;22/06/2023;17:06:31;30.55;;;;
2;22/06/2023;17:04:39;30.8;Synchronized;;;2;22/06/2023;17:06:09;31.26;Synchronized;;;2;22/06/2023;17:07:31;30.95;;;;
3;22/06/2023;17:05:39;30.66;;;;3;22/06/2023;17:07:09;30.99;;;;3;22/06/2023;17:08:31;30.79;;;;
4;22/06/2023;17:06:39;30.55;;;;4;22/06/2023;17:08:09;30.79;;;;4;22/06/2023;17:09:31;30.68;;;;
5;22/06/2023;17:07:39;30.45;;;;5;22/06/2023;17:09:09;30.67;;;;5;22/06/2023;17:10:31;30.59;;;;
6;22/06/2023;17:08:39;30.4;Synchronized;;;6;22/06/2023;17:10:09;30.57;;;;6;22/06/2023;17:11:31;30.52;;;;
7;22/06/2023;17:09:39;30.35;;;;7;22/06/2023;17:11:09;30.47;;;;7;22/06/2023;17:12:31;30.87;;;;
8;22/06/2023;17:10:39;30.28;;;;8;22/06/2023;17:12:09;30.9;;;;8;22/06/2023;17:13:30;30.66;;;;
9;22/06/2023;17:11:39;30.26;;;;9;22/06/2023;17:13:08;30.73;;;;9;22/06/2023;17:14:30;30.52;;;;
10;22/06/2023;17:12:39;30.48;;;;10;22/06/2023;17:14:08;30.57;;;;10;22/06/2023;17:15:30;30.41;;;;
11;22/06/2023;17:13:39;30.4;;;;11;22/06/2023;17:15:08;30.47;;;;11;22/06/2023;17:16:30;30.31;;;;
12;22/06/2023;17:14:39;30.32;;;;12;22/06/2023;17:16:08;30.37;;;;12;22/06/2023;17:17:30;30.25;;;;
13;22/06/2023;17:15:39;30.27;;;;13;22/06/2023;17:17:08;30.3;;;;13;22/06/2023;17:18:31;30.2;;;;
14;22/06/2023;17:16:39;30.22;;;;14;22/06/2023;17:18:08;30.22;;;;14;22/06/2023;17:19:31;30.18;;;;
15;22/06/2023;17:17:39;30.18;;;;15;22/06/2023;17:19:08;30.16;;;;15;22/06/2023;17:20:31;30.13;;;;
16;22/06/2023;17:18:39;30.14;;;;16;22/06/2023;17:20:08;30.14;;;;16;22/06/2023;17:21:31;30.13;;;;
17;22/06/2023;17:19:39;30.12;;;;17;22/06/2023;17:21:08;30.13;;;;17;22/06/2023;17:22:31;30.09;;;;
18;22/06/2023;17:20:39;30.11;;;;18;22/06/2023;17:22:08;30.1;;;;18;22/06/2023;17:23:31;30.11;;;;
19;22/06/2023;17:21:39;30.09;;;;19;22/06/2023;17:23:08;30.09;;;;19;22/06/2023;17:24:31;30.09;;;;
20;22/06/2023;17:22:39;30.07;;;;20;22/06/2023;17:24:07;30.09;;;;20;22/06/2023;17:25:31;30.13;Synchronized;;;
21;22/06/2023;17:23:39;30.08;;;;21;22/06/2023;17:25:07;30.11;;;;21;22/06/2023;17:26:31;30.16;;;;
22;22/06/2023;17:24:39;30.07;;;;22;22/06/2023;17:26:07;30.13;;;;22;22/06/2023;17:27:31;30.18;;;;
23;22/06/2023;17:25:39;30.11;;;;23;22/06/2023;17:27:07;30.17;;;;23;22/06/2023;17:28:31;30.19;;;;
24;22/06/2023;17:26:39;30.13;;;;24;22/06/2023;17:28:07;30.16;;;;24;22/06/2023;17:29:31;30.22;;;;
25;22/06/2023;17:27:39;30.14;;;;25;22/06/2023;17:29:07;30.17;;;;25;22/06/2023;17:30:31;30.24;;;;
26;22/06/2023;17:28:39;30.14;;;;26;22/06/2023;17:30:07;30.23;;;;26;22/06/2023;17:31:31;30.2;;;;
27;22/06/2023;17:29:39;30.19;;;;27;22/06/2023;17:31:07;30.18;;;;27;22/06/2023;17:32:31;30.19;;;;
28;22/06/2023;17:30:39;30.2;;;;28;22/06/2023;17:32:07;30.17;;;;28;22/06/2023;17:33:31;30.15;;;;
29;22/06/2023;17:31:39;30.18;Synchronized;;;29;22/06/2023;17:33:07;30.15;;;;29;22/06/2023;17:34:31;30.14;;;;
30;22/06/2023;17:32:39;30.16;;;;30;22/06/2023;17:34:07;30.13;;;;30;22/06/2023;17:35:31;30.11;;;;
31;22/06/2023;17:33:39;30.13;;;;31;22/06/2023;17:35:07;30.13;;;;31;22/06/2023;17:36:31;30.13;;;;
32;22/06/2023;17:34:39;30.13;;;;32;22/06/2023;17:36:06;30.1;;;;32;22/06/2023;17:37:31;30.11;;;;
33;22/06/2023;17:35:39;30.12;;;;33;22/06/2023;17:37:06;30.1;;;;33;22/06/2023;17:38:31;30.1;;;;
34;22/06/2023;17:36:39;30.08;;;;34;22/06/2023;17:38:06;30.1;;;;34;22/06/2023;17:39:31;30.11;;;;
35;22/06/2023;17:37:39;30.09;;;;35;22/06/2023;17:39:06;30.1;;;;35;22/06/2023;17:40:31;30.1;;;;
36;22/06/2023;17:38:39;30.11;;;;36;22/06/2023;17:40:06;30.09;;;;36;22/06/2023;17:41:31;30.13;;;;
37;22/06/2023;17:39:39;30.11;;;;37;22/06/2023;17:41:06;30.13;;;;37;22/06/2023;17:42:31;30.13;;;;
38;22/06/2023;17:40:39;30.11;;;;38;22/06/2023;17:42:06;30.13;;;;38;22/06/2023;17:43:31;30.13;;;;
39;22/06/2023;17:41:39;30.13;;;;39;22/06/2023;17:43:06;30.11;;;;39;22/06/2023;17:44:31;30.13;;;;
40;22/06/2023;17:42:39;30.13;;;;40;22/06/2023;17:44:06;30.11;;;;40;22/06/2023;17:45:31;30.11;;;;
41;22/06/2023;17:43:39;30.13;;;;41;22/06/2023;17:45:06;30.13;;;;41;22/06/2023;17:46:31;30.14;;;;
42;22/06/2023;17:44:39;30.13;;;;42;22/06/2023;17:46:06;30.13;;;;42;22/06/2023;17:47:31;30.1;;;;
43;22/06/2023;17:45:39;30.13;;;;43;22/06/2023;17:47:06;30.12;Synchronized;;;43;22/06/2023;17:48:31;30.13;;;;
44;22/06/2023;17:46:39;30.13;;;;44;22/06/2023;17:48:05;30.11;;;;44;22/06/2023;17:49:31;30.13;;;;
45;22/06/2023;17:47:39;30.12;;;;45;22/06/2023;17:49:05;30.14;;;;45;22/06/2023;17:50:31;30.13;;;;
46;22/06/2023;17:48:39;30.12;;;;46;22/06/2023;17:50:05;30.12;;;;46;22/06/2023;17:51:31;30.16;;;;
47;22/06/2023;17:49:39;30.13;;;;47;22/06/2023;17:51:05;30.14;;;;47;22/06/2023;17:52:31;30.16;;;;
48;22/06/2023;17:50:39;30.14;;;;48;22/06/2023;17:52:05;30.16;;;;48;22/06/2023;17:53:31;30.15;Synchronized;;;
49;22/06/2023;17:51:39;30.15;;;;49;22/06/2023;17:53:05;30.15;;;;49;22/06/2023;17:54:31;30.14;;;;
50;22/06/2023;17:52:39;30.17;;;;50;22/06/2023;17:54:05;30.16;;;;50;22/06/2023;17:55:31;30.13;;;;
51;22/06/2023;17:53:39;30.17;;;;51;22/06/2023;17:55:05;30.14;;;;51;22/06/2023;17:56:31;30.14;;;;
52;22/06/2023;17:54:39;30.14;;;;52;22/06/2023;17:56:05;30.14;;;;52;22/06/2023;17:57:31;30.11;;;;
