action,part_id,date,reason,n_rows
clip_before_start,P09,2023-06-05 00:00:00+02:00,start_override=09:30,53
clip_before_start,P11,2023-06-05 00:00:00+02:00,start_override=09:30,35
clip_before_start,P24,2023-06-05 00:00:00+02:00,start_override=09:30,75
clip_before_start,P04,2023-06-06 00:00:00+02:00,start_override=09:30,20
clip_before_start,P08,2023-06-06 00:00:00+02:00,start_override=09:30,6
clip_before_start,P12,2023-06-06 00:00:00+02:00,start_override=09:30,60
clip_before_start,P13,2023-06-06 00:00:00+02:00,start_override=09:30,73
clip_before_start,P14,2023-06-06 00:00:00+02:00,start_override=09:30,67
clip_before_start,P15,2023-06-06 00:00:00+02:00,start_override=09:30,3
clip_before_start,P19,2023-06-06 00:00:00+02:00,start_override=09:30,1
clip_before_start,P22,2023-06-06 00:00:00+02:00,start_override=09:30,22
clip_before_start,P01,2023-06-07 00:00:00+02:00,start_override=09:30,64
clip_before_start,P16,2023-06-07 00:00:00+02:00,start_override=09:30,58
clip_before_start,P17,2023-06-07 00:00:00+02:00,start_override=09:30,56
clip_before_start,P09,2023-06-22 00:00:00+02:00,start_override=09:30,49
clip_before_start,P12,2023-06-22 00:00:00+02:00,start_override=09:30,41
clip_before_start,P13,2023-06-22 00:00:00+02:00,start_override=09:30,19
clip_before_start,P14,2023-06-22 00:00:00+02:00,start_override=09:30,46
clip_before_start,P15,2023-06-22 00:00:00+02:00,start_override=09:30,15
clip_before_start,P19,2023-06-22 00:00:00+02:00,start_override=09:30,13
clip_before_start,P22,2023-06-22 00:00:00+02:00,start_override=09:30,28
clip_before_start,P01,2023-06-23 00:00:00+02:00,start_override=09:30,30
clip_before_start,P04,2023-06-23 00:00:00+02:00,start_override=09:30,30
clip_before_start,P08,2023-06-23 00:00:00+02:00,start_override=09:30,17
clip_before_start,P11,2023-06-23 00:00:00+02:00,start_override=09:30,22
clip_before_start,P16,2023-06-23 00:00:00+02:00,start_override=09:30,24
clip_before_start,P17,2023-06-23 00:00:00+02:00,start_override=09:30,31
clip_before_start,P24,2023-06-23 00:00:00+02:00,start_override=09:30,20
