part_id,date,scenario,session_id,time,datetime,tsv,tsv_scale,tcv,tcv_scale,tpv,tpv_scale,NASA1,NASA2,NASA3,NASA4,NASA5,measurement_timestep,tod,arm
P09,05-06-23,HS1,P09_HS1,10:30:00,05-06-23 10:30,Slightly warm,1,Comfortable,0,Slightly cooler,-1,12,10,12,1,2,2,Morning,FR
P09,05-06-23,HS1,P09_HS1,13:30:00,05-06-23 13:30,Slightly warm,1,Comfortable,0,Without change,0,8,7,6,2,-1,5,Afternoon,FR
P09,05-06-23,HS1,P09_HS1,16:30:00,05-06-23 16:30,Slightly warm,1,Comfortable,0,Without change,0,10,10,10,-1,-2,8,Afternoon,FR
P11,05-06-23,HS1,P11_HS1,10:30:00,05-06-23 10:30,Slightly warm,1,Slightly uncomfortable,1,Slightly cooler,-1,17,17,18,2,0,2,Morning,FR
P11,05-06-23,HS1,P11_HS1,13:30:00,05-06-23 13:30,Slightly warm,1,Slightly uncomfortable,1,Slightly cooler,-1,12,12,14,0,0,5,Afternoon,FR
P11,05-06-23,HS1,P11_HS1,16:30:00,05-06-23 16:30,Slightly warm,1,Slightly uncomfortable,1,Slightly cooler,-1,11,11,12,-1,1,8,Afternoon,FR
P24,05-06-23,HS1,P24_HS1,10:30:00,05-06-23 10:30,Neither hot nor cold,0,Comfortable,0,Without change,0,13,4,14,-5,-2,2,Morning,CC
P24,05-06-23,HS1,P24_HS1,13:30:00,05-06-23 13:30,Slightly warm,1,Slightly uncomfortable,1,Slightly cooler,-1,10,4,12,-5,-3,5,Afternoon,CC
P24,05-06-23,HS1,P24_HS1,16:30:00,05-06-23 16:30,Slightly warm,1,Uncomfortable,2,Cooler,-2,11,2,13,0,-3,8,Afternoon,CC
P04,06-06-23,HS1,P04_HS1,10:30:00,06-06-23 10:30,Slightly warm,1,Slightly uncomfortable,1,Slightly cooler,-1,1,5,1,-4,5,2,Morning,FR
P04,06-06-23,HS1,P04_HS1,13:30:00,06-06-23 13:30,Slightly warm,1,Slightly uncomfortable,1,Slightly cooler,-1,1,1,1,-3,1,5,Afternoon,FR
P04,06-06-23,HS1,P04_HS1,16:30:00,06-06-23 16:30,Slightly warm,1,Slightly uncomfortable,1,Slightly cooler,-1,1,1,1,-4,1,8,Afternoon,FR
P08,06-06-23,HS1,P08_HS1,10:30:00,06-06-23 10:30,Hot,2,Slightly uncomfortable,1,Slightly cooler,-1,12,10,13,3,1,2,Morning,FR
P08,06-06-23,HS1,P08_HS1,13:30:00,06-06-23 13:30,Hot,2,Slightly uncomfortable,1,Cooler,-2,9,7,14,-2,0,5,Afternoon,FR
P08,06-06-23,HS1,P08_HS1,16:30:00,06-06-23 16:30,Hot ,2,Uncomfortable,2,Cooler,-2,7,11,15,-1,-2,8,Afternoon,FR
P12,06-06-23,HS1,P12_HS1,10:30:00,06-06-23 10:30,Slightly warm,1,Slightly uncomfortable,1,Cooler,-2,9,9,8,-3,0,2,Morning,FR
P12,06-06-23,HS1,P12_HS1,13:30:00,06-06-23 13:30,Slightly warm,1,Slightly uncomfortable,1,Cooler,-2,9,6,9,-1,2,5,Afternoon,FR
P12,06-06-23,HS1,P12_HS1,16:30:00,06-06-23 16:30,Slightly warm,1,Slightly uncomfortable,1,Cooler,-2,8,7,7,-3,0,8,Afternoon,FR
P13,06-06-23,HS1,P13_HS1,10:30:00,06-06-23 10:30,Slightly warm,1,Slightly uncomfortable,1,Without change,0,10,12,14,2,-1,2,Morning,FR
P13,06-06-23,HS1,P13_HS1,13:30:00,06-06-23 13:30,Neither hot nor cold,0,Uncomfortable,2,Without change,0,10,14,9,0,1,5,Afternoon,FR
P13,06-06-23,HS1,P13_HS1,16:30:00,06-06-23 16:30,Hot,2,Uncomfortable,2,Slightly cooler,-1,10,13,8,-1,-2,8,Afternoon,FR
P14,06-06-23,HS1,P14_HS1,10:30:00,06-06-23 10:30,Slightly warm,1,Slightly uncomfortable,1,Slightly cooler,-1,9,13,13,3,-2,2,Morning,FR
P14,06-06-23,HS1,P14_HS1,13:30:00,06-06-23 13:30,Hot,2,Slightly uncomfortable,1,Cooler,-2,11,5,11,1,0,5,Afternoon,FR
P14,06-06-23,HS1,P14_HS1,16:30:00,06-06-23 16:30,Very hot,3,Very uncomfortable,3,Much cooler,-3,11,8,11,-1,-1,8,Afternoon,FR
P15,06-06-23,HS1,P15_HS1,10:30:00,06-06-23 10:30,Hot,2,Uncomfortable,2,Cooler,-2,13,15,12,1,-2,2,Morning,FR
P15,06-06-23,HS1,P15_HS1,13:30:00,06-06-23 13:30,Hot,2,Slightly uncomfortable,1,Slightly cooler,-1,16,6,14,-1,-2,5,Afternoon,FR
P15,06-06-23,HS1,P15_HS1,16:30:00,06-06-23 16:30,Slightly warm,1,Comfortable,0,Slightly cooler,-1,17,14,16,1,-3,8,Afternoon,FR
P19,06-06-23,HS1,P19_HS1,10:30:00,06-06-23 10:30,Hot,2,Slightly uncomfortable,1,Slightly cooler,-1,17,13,4,2,4,2,Morning,CC
P19,06-06-23,HS1,P19_HS1,13:30:00,06-06-23 13:30,Hot,2,Slightly uncomfortable,1,Slightly cooler,-1,8,15,6,-1,-2,5,Afternoon,CC
P19,06-06-23,HS1,P19_HS1,16:30:00,06-06-23 16:30,Neither hot nor cold,0,Comfortable,0,Without change,0,2,17,4,-4,5,8,Afternoon,CC
P22,06-06-23,HS1,P22_HS1,10:30:00,06-06-23 10:30,Slightly warm,1,Slightly uncomfortable,1,Slightly cooler,-1,4,4,4,-5,1,2,Morning,CC
P22,06-06-23,HS1,P22_HS1,13:30:00,06-06-23 13:30,Slightly warm,1,Comfortable,0,Slightly cooler,-1,2,2,1,-5,-1,5,Afternoon,CC
P22,06-06-23,HS1,P22_HS1,16:30:00,06-06-23 16:30,Neither hot nor cold,0,Comfortable,0,Without change,0,2,2,1,-5,0,8,Afternoon,CC
P16,07-06-23,HS1,P16_HS1,10:30:00,07-06-23 10:30,Slightly warm,1,Comfortable,0,Slightly cooler,-1,6,1,1,-5,-3,2,Morning,CC
P16,07-06-23,HS1,P16_HS1,13:30:00,07-06-23 13:30,Hot,2,Slightly uncomfortable,1,Cooler,-2,6,1,1,-5,-2,5,Afternoon,CC
P16,07-06-23,HS1,P16_HS1,16:30:00,07-06-23 16:30,Slightly warm,1,Slightly uncomfortable,1,Cooler,-2,1,1,1,-5,-4,8,Afternoon,CC
P17,07-06-23,HS1,P17_HS1,10:30:00,07-06-23 10:30,Slightly warm,1,Slightly uncomfortable,1,Slightly cooler,-1,1,1,6,-3,-4,2,Morning,CC
P17,07-06-23,HS1,P17_HS1,13:30:00,07-06-23 13:30,Slightly warm,1,Slightly uncomfortable,1,Slightly cooler,-1,1,1,5,-4,-1,5,Afternoon,CC
P17,07-06-23,HS1,P17_HS1,16:30:00,07-06-23 16:30,Slightly warm,1,Slightly uncomfortable,1,Slightly cooler,-1,1,1,5,-4,-1,8,Afternoon,CC
P01,07-06-23,HS1,P01_HS1,10:30:00,07-06-23 10:30,Slightly warm,1,Slightly uncomfortable,1,Slightly cooler,-1,5,3,5,-5,1,2,Morning,CC
P01,07-06-23,HS1,P01_HS1,13:30:00,07-06-23 13:30,Hot,2,Slightly uncomfortable,1,Slightly cooler,-1,7,7,7,-3,-1,5,Afternoon,CC
P01,07-06-23,HS1,P01_HS1,16:30:00,07-06-23 16:30,Slightly warm,1,Comfortable,0,Slightly cooler,-1,4,4,6,-4,1,8,Afternoon,CC
P09,22-06-23,HS2,P09_HS2,10:30:00,22-06-23 10:30,Neither hot nor cold,0,Comfortable,0,Without change,0,10,10,7,-2,-2,2,Morning,FR
